날짜,값
199808,14901.88
199809,14901.88
199810,15535.45
199811,16804.06
199812,17119.87
199901,17437.37
199902,17754.87
199903,17119.87
199904,16169.01
199905,13633.29
199906,11096.37
199907,12682.23
199908,13950.82
199909,15852.94
199910,19023.46
199911,19657.02
199912,18705.96
200001,18851.76
200002,14977.84
200003,12841.81
200004,13878.03
200005,14857.9
200006,16221.96
200007,18692.42
200008,19559.8
200009,17955.57
200010,14316.93
200011,10596.54
200012,9554.32
200101,8577.34
200102,7474.39
200103,6839.4
200104,6380.64
200105,5358.27
200106,3962.0
200107,2672.35
200108,2072.14
200109,2014.36
200110,1657.42
200111,1791.14
200112,2110.12
200201,3494.27
200202,4911.63
200203,5783.57
200204,5093.91
200205,4044.19
200206,3159.88
200207,3614.26
200208,3466.73
200209,3228.3
200210,3193.46
200211,3406.0
200212,3334.69
200301,3336.16
200302,3011.13
200303,3037.0
200304,3286.08
200305,2903.26
200306,2865.33
200307,3115.85
200308,3466.73
200309,3565.63
200310,3605.04
200311,3810.09
200312,3955.94
200401,3954.46
200402,4194.62
200403,4300.76
200404,4688.16
200405,4376.92
200406,4282.64
200407,4194.62
200408,3884.61
200409,3793.45
200410,3750.89
200411,3594.41
200412,3343.89
200501,3444.23
200502,3271.35
200503,2829.54
200504,2419.87
200505,2239.51
200506,2240.94
200507,2224.0
200508,2262.21
200509,2203.69
200510,2124.84
200511,1979.79
200512,1778.59
200601,1871.92
200602,1864.68
200603,1770.85
200604,1810.74
200605,1860.78
200606,1844.09
200607,1891.04
200608,2030.08
200609,2408.31
200610,2391.12
200611,2274.77
200612,2213.11
200701,2004.67
200702,1654.75
200703,1303.18
200704,1231.81
200705,972.13
200706,1030.16
200707,1100.74
200708,1028.0
200709,868.37
200710,637.69
200711,569.97
200712,447.87
200801,420.3
200802,442.32
200803,432.84
200804,437.92
200805,500.08
200806,532.73
200807,546.97
200808,513.14
200809,418.56
200810,347.49
200811,286.31
200812,236.52
200901,211.84
200902,221.74
200903,225.38
200904,229.98
200905,262.88
200906,281.48
200907,292.87
200908,331.53
200909,369.02
200910,416.15
200911,503.72
200912,522.85
201001,532.34
201002,539.82
201003,542.49
201004,569.44
201005,584.81
201006,579.57
201007,556.73
201008,497.27
201009,483.24
201010,424.93
201011,332.72
201012,267.15
201101,226.62
201102,220.7
201103,223.53
201104,238.09
201105,251.3
201106,247.96
201107,217.41
201108,168.94
201109,138.96
201110,134.33
201111,130.48
201112,116.44
201201,114.52
201202,114.52
201203,117.22
201204,119.78
201205,122.69
201206,145.64
201207,144.07
201208,136.58
201209,124.26
201210,112.93
201211,110.04
201212,106.28
201301,115.01
201302,122.94
201303,151.27
201304,176.09
201305,184.96
201306,192.64
201307,194.61
201308,193.27
201309,196.77
201310,209.82
201311,212.53
201312,214.02
201401,214.64
201402,213.37
201403,212.87
201404,209.03
201405,209.03
201406,210.66
201407,212.14
201408,216.38
201409,217.07
201410,216.18
201411,216.38
201412,214.02
201501,210.37
201502,206.33
201503,201.79
201504,196.43
201505,191.89
201506,185.58
201507,178.54
201508,167.46
201509,159.63
201510,153.57
201511,146.68
201512,146.34
201601,145.41
201602,140.42
201603,137.95
201604,127.46
201605,123.92
201606,122.21
201607,121.8
201608,124.46
201609,125.84
201610,137.81
201611,144.57
201612,145.35
201701,148.11
201702,169.78
201703,170.52
201704,180.42
201705,180.56
201706,180.72
201707,185.69
201708,186.14
201709,186.23
201710,203.17
201711,205.74
201712,205.98
201801,218.91
201802,218.99
201803,219.06
201804,220.92
201805,221.02
201806,221.02
201807,221.65
201808,221.65
201809,220.83
201810,208.46
201811,204.78
201812,203.92
201901,173.75
201902,161.72
201903,152.29
201904,136.04
201905,130.56
201906,124.46
201907,107.12
201908,106.73
201909,106.73
201910,100.17
201911,99.92
201912,99.74
202001,98.19
202002,98.42
202003,99.28
202004,106.21
202005,106.34
202006,106.34
202007,100.42
202008,100.42
202009,100.42
202010,94.65
202011,94.65
202012,94.65
202101,97.8
202102,97.94
202103,97.94
202104,115.45
202105,115.45
202106,115.45
202107,123.0
202108,123.0
202109,123.0
202110,116.01
202111,116.01
202112,116.01
202201,103.39
202202,103.39
202203,103.39
202204,102.71
202205,102.14
202206,101.67
202207,90.59
202208,90.31
202209,87.77
202210,71.77
202211,71.77
202212,70.92
202301,61.81
202302,60.59
202303,60.18
202304,50.94
202305,50.86
202306,50.06
202307,49.53
202308,49.51
202309,49.51
202310,53.57
202311,54.25
202312,55.27
202401,63.36
202402,64.22
202403,64.83
202404,73.25
202405,73.32
202406,73.61
202407,77.96
202408,77.86
202409,76.63
202410,75.26
202411,74.03
202412,73.99
202501,72.77
202502,70.7
202503,71.44
202504,72.36
202505,74.63
202506,74.72
202507,80.81
202508,80.98
202509,83.16
202510,97.3
202511,109.03
202512,111.22
202601,147.44
202602,157.62
202603,187.19
202604,233.82
202605,251.21
202606,252.74
