날짜,값
200001,12162425
200002,12676042
200003,14429703
200004,13522040
200005,14636755
200006,15250940
200007,14455656
200008,14786880
200009,15133379
200010,15248068
200011,14989068
200012,14976555
200101,12644929
200102,13354074
200103,14124891
200104,12121110
200105,13306959
200106,12931941
200107,11392257
200108,11766192
200109,12447324
200110,12086028
200111,12348967
200112,11914472
200201,11381879
200202,11023037
200203,13251323
200204,13184534
200205,14173177
200206,12894088
200207,13395179
200208,13959110
200209,13900763
200210,15084659
200211,15196561
200212,15026217
200301,14319931
200302,13337145
200303,15378850
200304,15720592
200305,14676092
200306,15656327
200307,15431714
200308,15375268
200309,17021082
200310,18929665
200311,18242088
200312,19728688
200401,18987120
200402,19136968
200403,21174855
200404,21483357
200405,20834259
200406,21657111
200407,21003794
200408,19798969
200409,20831133
200410,22663289
200411,23076612
200412,23197206
200501,22454025
200502,20401096
200503,23952500
200504,22872505
200505,23122703
200506,23707576
200507,23235522
200508,23342967
200509,24519191
200510,25352748
200511,25826192
200512,25631716
200601,23257866
200602,23786956
200603,26840145
200604,25590123
200605,27934507
200606,27948805
200607,25774350
200608,27287195
200609,29651247
200610,28015959
200611,30602313
200612,28775383
200701,28092561
200702,26225125
200703,30385840
200704,29944456
200705,31039901
200706,32000109
200707,30207444
200708,30998134
200709,29323535
200710,34433813
200711,35807893
200712,33030276
200801,32274575
200802,31178190
200803,35991776
200804,37850247
200805,39383158
200806,37258608
200807,40961223
200808,36610603
200809,37428303
200810,37111140
200811,28841617
200812,27117889
200901,21133405
200902,25397150
200903,27890831
200904,30326509
200905,27823839
200906,32210048
200907,31908462
200908,28949627
200909,33922429
200910,33970032
200911,33991607
200912,36009623
201001,30735415
201002,33039402
201003,37308940
201004,39301014
201005,38887930
201006,42049045
201007,40423611
201008,36480955
201009,39410882
201010,43340335
201011,41260912
201012,44145320
201101,44465366
201102,38467412
201103,48052991
201104,48536725
201105,47331329
201106,46736893
201107,48950113
201108,45792061
201109,46510965
201110,46613480
201111,46012595
201112,47743725
201201,41200358
201202,46316184
201203,47329817
201204,46094754
201205,46872357
201206,47162605
201207,44667681
201208,43045181
201209,45412538
201210,47087760
201211,47805246
201212,44875311
201301,45673109
201302,42331837
201303,47312704
201304,46157925
201305,48307560
201306,46690983
201307,45829521
201308,46311341
201309,44650486
201310,50480484
201311,47905028
201312,47981456
201401,45559632
201402,42911735
201403,49064392
201404,50267448
201405,47577183
201406,47827709
201407,48204545
201408,46108370
201409,47446217
201410,51630657
201411,46605342
201412,49461377
201501,45105389
201502,41472191
201503,46822771
201504,46221931
201505,42327311
201506,46554512
201507,45695747
201508,39107399
201509,43432312
201510,43352046
201511,44285052
201512,42379843
201601,36260420
201602,35924541
201603,43002468
201604,41081553
201605,39733794
201606,45209071
201607,40881700
201608,40124791
201609,40846252
201610,41983329
201611,45309141
201612,45068880
201701,40257000
201702,43166536
201703,48637832
201704,50843799
201705,44926979
201706,51272452
201707,48830440
201708,47105569
201709,55115240
201710,44791239
201711,49707197
201712,49040139
201801,49221291
201802,44523530
201803,51309932
201804,49850235
201805,50687750
201806,51079375
201807,51810255
201808,51180449
201809,50650208
201810,54860310
201811,51479530
201812,48206793
201901,46168934
201902,39481803
201903,47003206
201904,48781156
201905,45703948
201906,44008404
201907,46078221
201908,44020065
201909,44629053
201910,46648756
201911,44040722
201912,45668341
202001,43103061
202002,40911819
202003,46167204
202004,36270183
202005,34854511
202006,39214071
202007,42785144
202008,39469231
202009,47819948
202010,44818534
202011,45751883
202012,51332449
202101,48006974
202102,44706907
202103,53690914
202104,51225991
202105,50725161
202106,54778905
202107,55461518
202108,53165104
202109,55913862
202110,55660373
202111,60330542
202112,60734117
202201,55455376
202202,54155835
202203,63786835
202204,57842816
202205,61591326
202206,57679934
202207,60241774
202208,56605950
202209,57176300
202210,52428092
202211,51771855
202212,54848666
202301,46339145
202302,49994593
202303,54882484
202304,49430879
202305,52054195
202306,54297754
202307,50457776
202308,51994074
202309,54650691
202310,54989950
202311,55561090
202312,57573193
202401,54709823
202402,52076390
202403,56518309
202404,56148299
202405,58020557
202406,57341634
202407,57458788
202408,57642924
202409,58544693
202410,57500192
202411,56288629
202412,61359250
202501,49176984
202502,52292301
202503,58064562
202504,58035745
202505,57261063
202506,59833797
202507,60724322
202508,58259332
202509,65904118
202510,59511578
202511,60752618
202512,69513624
202601,65845619
202602,67650689
202603,87339053
202604,85742028
202605,87605218
202606,102165511
