날짜,값
199808,1846571000000
199809,1704581000000
199810,2215648000000
199811,3153503000000
199812,3777343000000
199901,4900804000000
199902,4016659000000
199903,5329672000000
199904,8911887000000
199905,8348832000000
199906,8145608000000
199907,10555762000000
199908,10090248000000
199909,10621671000000
199910,7822704000000
199911,9609397000000
199912,6991887000000
200001,9407493000000
200002,10597295000000
200003,10813502000000
200004,10131791000000
200005,9714322000000
200006,9613517000000
200007,9239574000000
200008,8475653000000
200009,7537045000000
200010,7029036000000
200011,7079419000000
200012,6057559000000
200101,8717044000000
200102,8160622000000
200103,7644483000000
200104,8652754000000
200105,9027545000000
200106,7751020000000
200107,7644425000000
200108,7613520000000
200109,8220522000000
200110,8207838000000
200111,9939724000000
200112,9557885000000
200201,11563288000000
200202,10772533000000
200203,12003890000000
200204,11686593000000
200205,10204721000000
200206,9577603000000
200207,9349363000000
200208,9253382000000
200209,8238971000000
200210,9074619000000
200211,9235844000000
200212,8140594000000
200301,7792714000000
200302,7994702000000
200303,11017960000000
200304,9992071000000
200305,9842037000000
200306,10423573000000
200307,10195816000000
200308,10024919000000
200309,9131277000000
200310,9776019000000
200311,9536302000000
200312,9543693000000
200401,9501745000000
200402,9014871000000
200403,8869009000000
200404,10386632000000
200405,8745219000000
200406,8381423000000
200407,7842231000000
200408,8517939000000
200409,8788808000000
200410,8085235000000
200411,8584325000000
200412,8130850000000
200501,9989077000000
200502,10613415000000
200503,10008270000000
200504,9434328000000
200505,9668744000000
200506,10071352000000
200507,11620741000000
200508,11139033000000
200509,11783193000000
200510,11493541000000
200511,12819794000000
200512,11895560000000
200601,13125226000000
200602,12114613000000
200603,11248693000000
200604,13276411000000
200605,10781390000000
200606,9799729000000
200607,9719467000000
200608,9618528000000
200609,9333554000000
200610,9614849000000
200611,9337799000000
200612,8448888000000
200701,8535821000000
200702,9736895000000
200703,9909658000000
200704,11366968000000
200705,13175864000000
200706,14015318000000
200707,14555935000000
200708,12836974000000
200709,12692841000000
200710,13130631000000
200711,10827719000000
200712,9508721000000
200801,9771113000000
200802,9284973000000
200803,9561687000000
200804,11022300000000
200805,10030722000000
200806,9170435000000
200807,9041815000000
200808,8104895000000
200809,9427159000000
200810,10026310000000
200811,9617374000000
200812,9240571000000
200901,10014705000000
200902,10301501000000
200903,12942209000000
200904,14272309000000
200905,14570308000000
200906,12722676000000
200907,14386136000000
200908,13932403000000
200909,13863875000000
200910,13143718000000
200911,12282675000000
200912,11786521000000
201001,13058022000000
201002,12212921000000
201003,13068297000000
201004,14014129000000
201005,13646709000000
201006,13657176000000
201007,13644024000000
201008,12681411000000
201009,13815291000000
201010,14834689000000
201011,15076117000000
201012,13702433000000
201101,16260036000000
201102,14676169000000
201103,15585520000000
201104,17277007178093
201105,15249550946321
201106,15623111529211
201107,17281439242741
201108,19338872472191
201109,18747296873574
201110,20530376389855
201111,18336318926092
201112,17427014060541
201201,20081668021887
201202,19915355422856
201203,18221060347454
201204,17815461701047
201205,16876254528218
201206,16358048874391
201207,16275068945324
201208,18271825308087
201209,18734735232111
201210,16873081415515
201211,16736081295338
201212,17074949664087
201301,16654733492403
201302,17210908758662
201303,17247499942504
201304,17958896883690
201305,18453379871965
201306,18262644142506
201307,17407090437772
201308,17504803702904
201309,16265190245547
201310,15250948920783
201311,14552583532468
201312,13900424763864
201401,14105550987255
201402,13895150541242
201403,13629838903298
201404,14884889649831
201405,14754713412242
201406,14282964656724
201407,15644684367111
201408,14953078438525
201409,15602745736661
201410,15704737746878
201411,16005777725635
201412,16141366158368
201501,16361718352388
201502,16738286328064
201503,18362838602206
201504,21215431555996
201505,20993609876129
201506,21665830149508
201507,20794814348604
201508,20915312289643
201509,21968519849680
201510,21064301865297
201511,20764990231908
201512,20903528932588
201601,20428088460695
201602,20661650587275
201603,21432883654074
201604,22892611555049
201605,21471760377875
201606,23870600196765
201607,22684003793047
201608,21739285402571
201609,21934034536407
201610,22005344345026
201611,21607507063824
201612,21760096000235
201701,21923610345982
201702,22218972466955
201703,21768206509612
201704,24893152046858
201705,23968355878679
201706,23871911577669
201707,24316449222727
201708,23297422255045
201709,23139798733679
201710,24328688328352
201711,26060322346770
201712,26495350962041
201801,30685764476754
201802,26892914280451
201803,27000949289325
201804,28269827879279
201805,28817101703697
201806,26940987308596
201807,27678019529357
201808,25680421061352
201809,26994890538010
201810,25270071460197
201811,22667687045983
201812,24849598278130
201901,28208285322730
201902,25500047109736
201903,24960470912180
201904,25807039688966
201905,24255775616289
201906,24710303812024
201907,24107780027665
201908,23230386582058
201909,24456785941353
201910,25045382006976
201911,24671137803356
201912,27393295517343
202001,28718926309504
202002,31211202456797
202003,43082921163972
202004,42835008383926
202005,43969233104795
202006,46323213153236
202007,47786309826211
202008,60526988846687
202009,53880131614764
202010,55039832716595
202011,61587622438329
202012,65522729683161
202101,68017175963956
202102,63858500318442
202103,62622494885353
202104,58416679381782
202105,64073702482735
202106,66132831447990
202107,67256134866676
202108,69595256934534
202109,68346305182174
202110,66730533451623
202111,65982416975258
202112,67530709441173
202201,70344738680337
202202,63425412160166
202203,63282648977182
202204,61406227458350
202205,57567120572557
202206,57364879269709
202207,54259039186703
202208,53063279681881
202209,50852276477711
202210,48619093550500
202211,46674550140973
202212,46448436345219
202301,49274946730778
202302,47739759960716
202303,50601820360439
202304,53142047795399
202305,51955272737993
202306,51844173216948
202307,55986564903614
202308,51578854237616
202309,49989963530490
202310,46056992491236
202311,48480990753838
202312,52753715011589
202401,50743423651519
202402,54335607161130
202403,56522917618972
202404,57230646181837
202405,54396417185127
202406,56508685394651
202407,54299436493012
202408,52129288927360
202409,56832875086415
202410,50586580705336
202411,52296893288003
202412,54242673614899
202501,55578587864590
202502,56052942763366
202503,58474325039872
202504,57547609735064
202505,57297161972551
202506,68972400140652
202507,68685235038871
202508,66299201945325
202509,76447368886830
202510,85456931799285
202511,77911992240798
202512,87829057306195
202601,106032451738557
202602,118748759584855
202603,110288948029473
202604,124759100748551
202605,131585592745185
202606,121633950527251
202607,104135408405298
