월,기준일,시총_조원
202308,20230831,449.3
202309,20230927,408.9
202310,20231031,359.9
202311,20231130,409.5
202312,20231228,431.8
202401,20240131,374.9
202402,20240229,407.7
202403,20240329,431.4
202404,20240430,416.8
202405,20240531,406.7
202406,20240628,408.4
202407,20240731,392.9
202408,20240830,377.6
202409,20240930,376.3
202410,20241031,368.5
202411,20241129,337.8
202412,20241230,340.1
202501,20250131,367.1
202502,20250228,377.9
202503,20250331,344.7
202504,20250430,368.0
202505,20250530,379.6
202506,20250630,404.6
202507,20250731,419.2
202508,20250829,419.0
202509,20250930,444.6
202510,20251031,474.7
202511,20251128,487.4
202512,20251230,505.9
202601,20260130,630.5
202602,20260227,655.3
202603,20260331,582.6
202604,20260430,662.0
202605,20260529,600.4
202606,20260630,513.9
202607,20260731,400.2
