월,기준일,시총_조원
202308,20230831,2025.2
202309,20230927,1955.8
202310,20231031,1815.4
202311,20231130,2027.8
202312,20231228,2126.4
202401,20240131,2030.0
202402,20240229,2154.5
202403,20240329,2240.5
202404,20240430,2193.8
202405,20240531,2151.0
202406,20240628,2283.9
202407,20240731,2262.8
202408,20240830,2187.5
202409,20240930,2116.0
202410,20241031,2083.8
202411,20241129,2011.4
202412,20241230,1963.3
202501,20250131,2057.1
202502,20250228,2074.4
202503,20250331,2033.5
202504,20250430,2094.1
202505,20250530,2210.6
202506,20250630,2512.1
202507,20250731,2662.7
202508,20250829,2619.0
202509,20250930,2817.8
202510,20251031,3383.4
202511,20251128,3235.8
202512,20251230,3477.8
202601,20260130,4318.6
202602,20260227,5146.4
202603,20260331,4159.1
202604,20260430,5407.5
202605,20260529,6933.1
202606,20260630,6929.5
202607,20260731,5445.2
