,종가,NAV,괴리율
2025-08-05,8970,8960.58,0.11
2025-08-06,9030,9021.02,0.1
2025-08-07,8985,8992.65,-0.09
2025-08-08,9070,9052.44,0.19
2025-08-11,9090,9076.74,0.15
2025-08-12,9105,9071.15,0.37
2025-08-13,9060,9066.2,-0.07
2025-08-14,9230,9243.31,-0.14
2025-08-18,9175,9200.41,-0.28
2025-08-19,9180,9202.59,-0.25
2025-08-20,9315,9358.42,-0.46
2025-08-21,9335,9340.69,-0.06
2025-08-22,9275,9282.98,-0.09
2025-08-25,9345,9351.93,-0.07
2025-08-26,9315,9323.92,-0.1
2025-08-27,9275,9263.4,0.13
2025-08-28,9285,9275.7,0.1
2025-08-29,9220,9224.47,-0.05
2025-09-01,9265,9289.73,-0.27
2025-09-02,9260,9271.69,-0.13
2025-09-03,9260,9297.39,-0.4
2025-09-04,9280,9301.26,-0.23
2025-09-05,9395,9383.8,0.12
2025-09-08,9425,9417.02,0.08
2025-09-09,9365,9358.16,0.07
2025-09-10,9325,9313.75,0.12
2025-09-11,9280,9291.32,-0.12
2025-09-12,9430,9439.52,-0.1
2025-09-15,9385,9360.59,0.26
2025-09-16,9235,9230.54,0.05
2025-09-17,9215,9213.04,0.02
2025-09-18,9335,9319.36,0.17
2025-09-19,9325,9339.28,-0.15
2025-09-22,9290,9299.23,-0.1
2025-09-23,9225,9219.37,0.06
2025-09-24,9230,9233.72,-0.04
2025-09-25,9240,9238.04,0.02
2025-09-26,9210,9194.01,0.17
2025-09-29,9200,9180.88,0.21
2025-09-30,9195,9190.39,0.05
2025-10-01,9195,9241.28,-0.5
2025-10-02,9290,9295.58,-0.06
2025-10-10,9220,9227.81,-0.08
2025-10-13,9235,9162.53,0.79
2025-10-14,9220,9260.92,-0.44
2025-10-15,9290,9286.3,0.04
2025-10-16,9240,9238.2,0.02
2025-10-17,9175,9217.02,-0.46
2025-10-20,9315,9301.56,0.14
2025-10-21,9360,9373.34,-0.14
2025-10-22,9405,9431.63,-0.28
2025-10-23,9410,9438.33,-0.3
2025-10-24,9395,9374.6,0.22
2025-10-27,9375,9306.44,0.74
2025-10-28,9325,9344.06,-0.2
2025-10-29,9240,9217.85,0.24
2025-10-30,9030,9023.87,0.07
2025-10-31,9065,9045.01,0.22
2025-11-03,9055,9052.41,0.03
2025-11-04,8930,8966.97,-0.41
2025-11-05,9080,9070.29,0.11
2025-11-06,9120,9134.21,-0.16
2025-11-07,9100,9103.73,-0.04
2025-11-10,9145,9123.34,0.24
2025-11-11,9145,9137.98,0.08
2025-11-12,9250,9261.44,-0.12
2025-11-13,9270,9247.55,0.24
2025-11-14,9145,9135.0,0.11
2025-11-17,9105,9093.52,0.13
2025-11-18,9070,9111.1,-0.45
2025-11-19,9025,9019.42,0.06
2025-11-20,9025,8946.99,0.87
2025-11-21,8955,8930.09,0.28
2025-11-24,9110,9109.0,0.01
2025-11-25,8955,8966.0,-0.12
2025-11-26,9115,9091.26,0.26
2025-11-27,9130,9137.5,-0.08
2025-11-28,9190,9172.8,0.19
2025-12-01,9145,9184.87,-0.43
2025-12-02,9080,9090.9,-0.12
2025-12-03,9065,9039.37,0.28
2025-12-04,9195,9183.32,0.13
2025-12-05,9145,9107.92,0.41
2025-12-08,9090,9072.39,0.19
2025-12-09,9050,9040.32,0.11
2025-12-10,9050,9034.52,0.17
2025-12-11,9135,9165.92,-0.34
2025-12-12,9265,9273.94,-0.1
2025-12-15,9280,9262.83,0.19
2025-12-16,9285,9333.1,-0.52
2025-12-17,9300,9309.28,-0.1
2025-12-18,9300,9313.33,-0.14
2025-12-19,9210,9219.43,-0.1
2025-12-22,9235,9222.53,0.14
2025-12-23,9260,9258.54,0.02
2025-12-24,9055,9016.97,0.42
2025-12-26,9080,8983.88,1.07
2025-12-29,8980,8917.18,0.7
2025-12-30,8985,8944.84,0.45
2026-01-02,8955,8897.21,0.65
2026-01-05,8955,8920.87,0.38
2026-01-06,8920,8888.31,0.36
2026-01-07,9020,9001.05,0.21
2026-01-08,8985,8990.99,-0.07
2026-01-09,9150,9190.56,-0.44
2026-01-12,9290,9324.43,-0.37
2026-01-13,9325,9334.54,-0.1
2026-01-14,9355,9384.02,-0.31
2026-01-15,9410,9436.89,-0.28
2026-01-16,9540,9517.1,0.24
2026-01-19,9390,9455.67,-0.69
2026-01-20,9385,9483.72,-1.04
2026-01-21,9290,9300.47,-0.11
2026-01-22,9390,9391.54,-0.02
2026-01-23,9410,9407.03,0.03
2026-01-26,9215,9199.12,0.17
2026-01-27,9225,9236.94,-0.13
2026-01-28,9165,9121.71,0.47
2026-01-29,9025,9037.41,-0.14
2026-01-30,9055,9117.34,-0.68
2026-02-02,9310,9412.23,-1.09
2026-02-03,9350,9339.99,0.11
2026-02-04,9425,9421.99,0.03
2026-02-05,9620,9685.08,-0.67
2026-02-06,9650,9707.76,-0.59
2026-02-09,9795,9788.81,0.06
2026-02-10,9735,9732.78,0.02
2026-02-11,9740,9711.85,0.29
2026-02-12,9685,9649.71,0.37
2026-02-13,9610,9611.73,-0.02
2026-02-19,9740,9735.83,0.04
2026-02-20,9720,9696.9,0.24
2026-02-23,9610,9641.7,-0.33
2026-02-24,9670,9652.94,0.18
2026-02-25,9640,9590.39,0.52
2026-02-26,9505,9505.13,-0.0
2026-02-27,9590,9651.32,-0.64
2026-03-03,9725,9822.94,-1.0
2026-03-04,9700,9780.73,-0.83
2026-03-05,9650,9698.51,-0.5
2026-03-06,9660,9664.8,-0.05
2026-03-09,9620,9791.1,-1.75
2026-03-10,9540,9537.77,0.02
2026-03-11,9450,9429.66,0.22
2026-03-12,9400,9452.46,-0.55
2026-03-13,9420,9406.6,0.14
2026-03-16,9470,9450.61,0.21
2026-03-17,9445,9457.07,-0.13
2026-03-18,9465,9381.29,0.89
2026-03-19,9300,9293.14,0.07
2026-03-20,9265,9253.21,0.13
2026-03-23,9260,9297.77,-0.41
2026-03-24,9215,9224.01,-0.1
2026-03-25,9245,9186.48,0.64
2026-03-26,9270,9305.34,-0.38
2026-03-27,9340,9301.56,0.41
2026-03-30,9285,9268.52,0.18
2026-03-31,9335,9238.37,1.05
2026-04-01,9180,9107.35,0.8
2026-04-02,9180,9239.01,-0.64
2026-04-03,9130,9106.52,0.26
2026-04-06,9130,9112.85,0.19
2026-04-07,9175,9175.0,0.0
2026-04-08,9040,8867.69,1.94
2026-04-09,9115,9118.98,-0.04
2026-04-10,9140,9159.65,-0.21
2026-04-13,9070,9087.21,-0.19
2026-04-14,9100,9059.08,0.45
2026-04-15,9070,9040.12,0.33
2026-04-16,9050,9031.24,0.21
2026-04-17,9160,9158.84,0.01
2026-04-20,9185,9241.77,-0.61
2026-04-21,9210,9177.28,0.36
2026-04-22,9200,9160.05,0.44
2026-04-23,9125,9137.63,-0.14
2026-04-24,9120,9137.99,-0.2
2026-04-27,9050,9016.91,0.37
2026-04-28,9000,8933.43,0.75
2026-04-29,9015,8994.54,0.23
2026-04-30,8990,8956.39,0.38
2026-05-04,8985,8905.18,0.9
2026-05-06,8820,8699.45,1.39
2026-05-07,8800,8756.91,0.49
2026-05-08,8885,8896.69,-0.13
2026-05-11,8945,8953.88,-0.1
2026-05-12,8975,8983.3,-0.09
2026-05-13,9030,9005.63,0.27
2026-05-14,8970,8946.26,0.27
2026-05-15,9030,9047.31,-0.19
2026-05-18,8900,8952.48,-0.59
2026-05-19,9000,9040.56,-0.45
2026-05-20,9065,9056.8,0.09
2026-05-21,9075,9083.59,-0.09
2026-05-22,9220,9220.37,-0.0
2026-05-26,9325,9271.55,0.58
2026-05-27,9205,9173.24,0.35
2026-05-28,9230,9234.37,-0.05
2026-05-29,9320,9333.88,-0.15
2026-06-01,9355,9407.61,-0.56
2026-06-02,9375,9408.83,-0.36
2026-06-04,9395,9414.85,-0.21
2026-06-05,9525,9532.53,-0.08
2026-06-08,9485,9524.36,-0.41
2026-06-09,9380,9357.6,0.24
2026-06-10,9500,9526.84,-0.28
2026-06-11,9505,9484.79,0.21
2026-06-12,9525,9535.98,-0.12
2026-06-15,9580,9531.24,0.51
2026-06-16,9545,9507.96,0.39
2026-06-17,9550,9539.84,0.11
2026-06-18,9445,9407.51,0.4
2026-06-19,9420,9422.48,-0.03
2026-06-22,9500,9484.12,0.17
2026-06-23,9445,9488.11,-0.45
2026-06-24,9520,9545.25,-0.26
2026-06-25,9570,9569.05,0.01
2026-06-26,9550,9495.21,0.58
2026-06-29,9680,9686.13,-0.06
2026-06-30,9695,9690.7,0.04
2026-07-01,9690,9693.83,-0.04
2026-07-02,9750,9774.73,-0.25
2026-07-03,9765,9746.32,0.19
2026-07-06,9780,9776.28,0.04
2026-07-07,9780,9759.04,0.21
2026-07-08,9640,9605.19,0.36
2026-07-09,9520,9543.23,-0.24
2026-07-10,9555,9533.81,0.22
2026-07-13,9615,9618.64,-0.04
2026-07-14,9560,9566.31,-0.07
2026-07-15,9535,9520.37,0.15
2026-07-16,9535,9521.79,0.14
2026-07-20,9625,9619.92,0.05
2026-07-21,9505,9502.22,0.03
2026-07-22,9585,9590.8,-0.06
2026-07-23,9500,9503.9,-0.04
2026-07-24,9480,9470.49,0.1
2026-07-27,9670,9648.64,0.22
2026-07-28,9700,9710.35,-0.11
2026-07-29,9880,9766.37,1.16
2026-07-30,9655,9667.72,-0.13
2026-07-31,9485,9423.56,0.65
2026-08-03,9485,9486.02,-0.01
2026-08-04,9655,9618.86,0.38
2026-08-05,9705,9681.91,0.24
