,종가,NAV,괴리율
2025-08-06,9200,9153.85,0.5
2025-08-07,9190,9166.19,0.26
2025-08-08,9220,9212.07,0.09
2025-08-11,9280,9278.85,0.01
2025-08-12,9260,9269.56,-0.1
2025-08-13,9280,9320.38,-0.43
2025-08-14,9305,9352.59,-0.51
2025-08-18,9315,9350.97,-0.38
2025-08-19,9335,9390.4,-0.59
2025-08-20,9350,9386.71,-0.39
2025-08-21,9360,9363.51,-0.04
2025-08-22,9310,9293.44,0.18
2025-08-25,9370,9344.47,0.27
2025-08-26,9370,9379.21,-0.1
2025-08-27,9420,9304.85,1.24
2025-08-28,9260,9272.81,-0.14
2025-08-29,9285,9320.34,-0.38
2025-09-01,9235,9282.35,-0.51
2025-09-02,9240,9266.19,-0.28
2025-09-03,9210,9207.44,0.03
2025-09-04,9255,9259.86,-0.05
2025-09-05,9305,9305.72,-0.01
2025-09-08,9280,9279.18,0.01
2025-09-09,9280,9281.81,-0.02
2025-09-10,9295,9298.04,-0.03
2025-09-11,9340,9360.9,-0.22
2025-09-12,9380,9415.46,-0.38
2025-09-15,9400,9416.8,-0.18
2025-09-16,9395,9395.86,-0.01
2025-09-17,9395,9390.43,0.05
2025-09-18,9465,9433.82,0.33
2025-09-19,9500,9521.35,-0.22
2025-09-22,9560,9561.07,-0.01
2025-09-23,9590,9604.4,-0.15
2025-09-24,9585,9584.22,0.01
2025-09-25,9575,9576.8,-0.02
2025-09-26,9605,9489.98,1.21
2025-09-29,9485,9459.92,0.27
2025-09-30,9495,9514.42,-0.2
2025-10-01,9475,9557.6,-0.86
2025-10-02,9565,9570.14,-0.05
2025-10-10,9725,9748.15,-0.24
2025-10-13,9605,9516.83,0.93
2025-10-14,9630,9701.64,-0.74
2025-10-15,9645,9624.03,0.22
2025-10-16,9640,9639.72,0.0
2025-10-17,9535,9605.68,-0.74
2025-10-20,9665,9650.46,0.15
2025-10-21,9775,9805.18,-0.31
2025-10-22,9805,9819.68,-0.15
2025-10-23,9825,9832.45,-0.08
2025-10-24,9905,9878.58,0.27
2025-10-27,10020,9919.98,1.01
2025-10-28,10055,10081.9,-0.27
2025-10-29,10110,9944.93,1.66
2025-10-30,9905,9911.26,-0.06
2025-10-31,9860,9800.62,0.61
2025-11-03,9830,9856.42,-0.27
2025-11-04,9815,9939.31,-1.25
2025-11-05,9825,9900.7,-0.76
2025-11-06,9875,9925.48,-0.51
2025-11-07,9875,9876.37,-0.01
2025-11-10,9910,9847.83,0.63
2025-11-11,9955,9990.06,-0.35
2025-11-12,10030,10030.14,-0.0
2025-11-13,10075,10049.93,0.25
2025-11-14,9805,9812.43,-0.08
2025-11-17,9870,9820.54,0.5
2025-11-18,9770,9783.08,-0.13
2025-11-19,9715,9710.77,0.04
2025-11-20,9850,9766.58,0.85
2025-11-21,9725,9687.66,0.39
2025-11-24,9835,9805.01,0.31
2025-11-25,9910,9927.9,-0.18
2025-11-26,9990,9853.59,1.38
2025-11-27,9885,9919.34,-0.35
2025-11-28,9985,9957.17,0.28
2025-12-01,9930,10007.02,-0.77
2025-12-02,9905,9946.55,-0.42
2025-12-03,9970,9967.65,0.02
2025-12-04,10025,10035.0,-0.1
2025-12-05,10025,10013.73,0.11
2025-12-08,10020,10020.4,-0.0
2025-12-09,10025,10022.83,0.02
2025-12-10,10010,10003.58,0.06
2025-12-11,10005,10089.39,-0.84
2025-12-12,10100,10120.02,-0.2
2025-12-15,10050,9993.45,0.57
2025-12-16,9965,10018.73,-0.54
2025-12-17,10030,10016.84,0.13
2025-12-18,9930,9892.41,0.38
2025-12-19,9985,9965.88,0.19
2025-12-22,10110,10078.88,0.31
2025-12-23,10185,10167.49,0.17
2025-12-24,10020,9990.06,0.3
2025-12-26,10045,9829.98,2.19
2025-12-29,9785,9756.68,0.29
2025-12-30,9805,9782.44,0.23
2026-01-02,9775,9716.36,0.6
2026-01-05,9775,9749.82,0.26
2026-01-06,9845,9823.85,0.22
2026-01-07,9890,9887.84,0.02
2026-01-08,9870,9884.29,-0.14
2026-01-09,9940,9930.51,0.1
2026-01-12,9985,10066.98,-0.81
2026-01-13,10075,10118.85,-0.43
2026-01-14,10100,10124.74,-0.24
2026-01-15,10030,10019.9,0.1
2026-01-16,10100,10073.25,0.27
2026-01-19,9985,10067.29,-0.82
2026-01-20,9970,10096.57,-1.25
2026-01-21,9895,9843.3,0.53
2026-01-22,9975,9949.9,0.25
2026-01-23,9995,9971.96,0.23
2026-01-26,9845,9810.77,0.35
2026-01-27,9905,9891.53,0.14
2026-01-28,9790,9653.63,1.41
2026-01-29,9675,9679.56,-0.05
2026-01-30,9675,9755.23,-0.82
2026-02-02,9705,9886.57,-1.84
2026-02-03,9840,9816.52,0.24
2026-02-04,9780,9765.62,0.15
2026-02-05,9820,9854.51,-0.35
2026-02-06,9745,9758.89,-0.14
2026-02-09,9830,9825.96,0.04
2026-02-10,9840,9865.46,-0.26
2026-02-11,9805,9774.94,0.31
2026-02-12,9735,9708.26,0.28
2026-02-13,9615,9584.79,0.32
2026-02-19,9690,9664.36,0.27
2026-02-20,9690,9645.92,0.46
2026-02-23,9625,9674.17,-0.51
2026-02-24,9605,9589.0,0.17
2026-02-25,9585,9467.32,1.24
2026-02-26,9480,9523.01,-0.45
2026-02-27,9490,9559.81,-0.73
2026-03-03,9600,9697.15,-1.0
2026-03-04,9610,9669.21,-0.61
2026-03-05,9655,9697.32,-0.44
2026-03-06,9695,9697.81,-0.03
2026-03-09,9560,9718.81,-1.63
2026-03-10,9630,9654.76,-0.26
2026-03-11,9685,9663.17,0.23
2026-03-12,9665,9752.78,-0.9
2026-03-13,9690,9694.54,-0.05
2026-03-16,9720,9672.54,0.49
2026-03-17,9715,9765.6,-0.52
2026-03-18,9770,9726.14,0.45
2026-03-19,9705,9708.54,-0.04
2026-03-20,9685,9678.93,0.06
2026-03-23,9615,9657.48,-0.44
2026-03-24,9620,9650.82,-0.32
2026-03-25,9705,9649.07,0.58
2026-03-26,9720,9754.9,-0.36
2026-03-27,9660,9470.61,2.0
2026-03-30,9395,9371.18,0.25
2026-03-31,9530,9452.0,0.83
2026-04-01,9460,9410.04,0.53
2026-04-02,9455,9592.58,-1.43
2026-04-03,9515,9528.73,-0.14
2026-04-06,9510,9531.96,-0.23
2026-04-07,9555,9592.08,-0.39
2026-04-08,9560,9397.45,1.73
2026-04-09,9560,9577.88,-0.19
2026-04-10,9625,9640.0,-0.16
2026-04-13,9610,9670.78,-0.63
2026-04-14,9720,9724.34,-0.04
2026-04-15,9750,9733.03,0.17
2026-04-16,9810,9814.81,-0.05
2026-04-17,9860,9898.39,-0.39
2026-04-20,9865,9951.24,-0.87
2026-04-21,9915,9874.2,0.41
2026-04-22,9935,9860.21,0.76
2026-04-23,9980,9999.96,-0.2
2026-04-24,9990,9982.54,0.07
2026-04-27,10005,9987.26,0.18
2026-04-28,10030,9886.48,1.45
2026-04-29,9895,9873.67,0.22
2026-04-30,9850,9908.28,-0.59
2026-05-04,9935,9894.75,0.41
2026-05-06,9875,9883.61,-0.09
2026-05-07,9915,9984.37,-0.69
2026-05-08,10040,10062.89,-0.23
2026-05-11,10085,10157.09,-0.71
2026-05-12,10220,10295.24,-0.73
2026-05-13,10305,10285.79,0.19
2026-05-14,10380,10353.78,0.25
2026-05-15,10405,10499.08,-0.9
2026-05-18,10280,10367.87,-0.85
2026-05-19,10380,10415.78,-0.34
2026-05-20,10360,10343.95,0.16
2026-05-21,10475,10454.0,0.2
2026-05-22,10620,10555.92,0.61
2026-05-26,10605,10499.37,1.01
2026-05-27,10625,10422.09,1.95
2026-05-28,10430,10436.51,-0.06
2026-05-29,10525,10531.98,-0.07
2026-06-01,10575,10534.05,0.39
2026-06-02,10580,10641.84,-0.58
2026-06-04,10600,10671.66,-0.67
2026-06-05,10770,10781.85,-0.11
2026-06-08,10525,10470.52,0.52
2026-06-09,10450,10351.38,0.95
2026-06-10,10360,10407.02,-0.45
2026-06-11,10340,10292.39,0.46
2026-06-12,10465,10416.28,0.47
2026-06-15,10570,10428.12,1.36
2026-06-16,10585,10546.06,0.37
2026-06-17,10560,10495.57,0.61
2026-06-18,10580,10459.11,1.16
2026-06-19,10545,10576.71,-0.3
2026-06-22,10605,10641.76,-0.35
2026-06-23,10500,10620.33,-1.13
2026-06-24,10560,10485.34,0.71
2026-06-25,10655,10471.02,1.76
2026-06-26,10460,10286.76,1.68
2026-06-29,10460,10366.81,0.9
2026-06-30,10495,10522.1,-0.26
2026-07-01,10545,10641.67,-0.91
2026-07-02,10550,10626.73,-0.72
2026-07-03,10490,10426.06,0.61
2026-07-06,10535,10446.1,0.85
2026-07-07,10475,10495.77,-0.2
2026-07-08,10270,10252.03,0.18
2026-07-09,10330,10271.03,0.57
2026-07-10,10330,10319.69,0.1
2026-07-13,10345,10381.29,-0.35
2026-07-14,10340,10232.57,1.05
2026-07-15,10335,10219.11,1.13
2026-07-16,10285,10227.64,0.56
2026-07-20,10095,10056.57,0.38
2026-07-21,10090,10009.39,0.81
2026-07-22,10160,10139.08,0.21
2026-07-23,10065,10041.81,0.23
2026-07-24,9945,9916.74,0.28
2026-07-27,10075,9938.47,1.37
2026-07-28,9885,9901.17,-0.16
2026-07-29,9825,9699.13,1.3
2026-07-30,9515,9493.33,0.23
2026-07-31,9630,9567.09,0.66
2026-08-03,9715,9680.54,0.36
2026-08-04,9815,9785.83,0.3
2026-08-05,9875,9850.17,0.25
2026-08-06,9830,9847.53,-0.18
