,종가,NAV,괴리율
2025-08-05,10735,10710.2,0.23
2025-08-06,10710,10667.62,0.4
2025-08-07,10710,10681.55,0.27
2025-08-08,10750,10737.52,0.12
2025-08-11,10825,10809.19,0.15
2025-08-12,10815,10797.89,0.16
2025-08-13,10855,10855.85,-0.01
2025-08-14,10880,10893.23,-0.12
2025-08-18,10880,10890.87,-0.1
2025-08-19,10910,10936.23,-0.24
2025-08-20,10900,10931.29,-0.29
2025-08-21,10905,10904.18,0.01
2025-08-22,10805,10821.64,-0.15
2025-08-25,10915,10919.53,-0.04
2025-08-26,10950,10959.63,-0.09
2025-08-27,11020,11009.15,0.1
2025-08-28,10955,10966.96,-0.11
2025-08-29,11010,11021.39,-0.1
2025-09-01,10960,10979.75,-0.18
2025-09-02,10950,10958.37,-0.08
2025-09-03,10910,10894.24,0.14
2025-09-04,10965,10951.36,0.12
2025-09-05,11065,11031.28,0.31
2025-09-08,11005,10993.22,0.11
2025-09-09,11015,10995.58,0.18
2025-09-10,11040,11015.13,0.23
2025-09-11,11105,11061.57,0.39
2025-09-12,11120,11125.5,-0.05
2025-09-15,11140,11127.49,0.11
2025-09-16,11115,11102.07,0.12
2025-09-17,11100,11097.47,0.02
2025-09-18,11190,11147.86,0.38
2025-09-19,11250,11247.6,0.02
2025-09-22,11280,11294.19,-0.13
2025-09-23,11350,11343.76,0.06
2025-09-24,11330,11321.25,0.08
2025-09-25,11320,11313.97,0.05
2025-09-26,11375,11352.14,0.2
2025-09-29,11355,11308.71,0.41
2025-09-30,11375,11372.08,0.03
2025-10-01,11365,11421.49,-0.49
2025-10-02,11450,11434.45,0.14
2025-10-10,11660,11648.24,0.1
2025-10-13,11505,11373.28,1.16
2025-10-14,11510,11591.17,-0.7
2025-10-15,11540,11494.84,0.39
2025-10-16,11530,11514.24,0.14
2025-10-17,11395,11468.74,-0.64
2025-10-20,11555,11512.75,0.37
2025-10-21,11700,11704.92,-0.04
2025-10-22,11745,11721.11,0.2
2025-10-23,11745,11738.47,0.06
2025-10-24,11815,11785.92,0.25
2025-10-27,11940,11834.81,0.89
2025-10-28,12020,12029.32,-0.08
2025-10-29,12040,12007.42,0.27
2025-10-30,11955,11964.43,-0.08
2025-10-31,11910,11828.45,0.69
2025-11-03,11910,11896.51,0.11
2025-11-04,11885,11992.19,-0.89
2025-11-05,11930,11945.9,-0.13
2025-11-06,11965,11975.18,-0.09
2025-11-07,11950,11916.79,0.28
2025-11-10,11970,11887.43,0.69
2025-11-11,12160,12169.55,-0.08
2025-11-12,12250,12214.41,0.29
2025-11-13,12280,12238.99,0.34
2025-11-14,11950,11950.11,-0.0
2025-11-17,12005,11954.11,0.43
2025-11-18,11840,11905.11,-0.55
2025-11-19,11795,11810.24,-0.13
2025-11-20,12020,11873.28,1.24
2025-11-21,11775,11751.64,0.2
2025-11-24,11940,11878.57,0.52
2025-11-25,12020,12023.36,-0.03
2025-11-26,12115,12076.29,0.32
2025-11-27,12155,12152.06,0.02
2025-11-28,12240,12198.6,0.34
2025-12-01,12175,12257.98,-0.68
2025-12-02,12170,12182.05,-0.1
2025-12-03,12235,12208.62,0.22
2025-12-04,12300,12290.84,0.07
2025-12-05,12295,12265.55,0.24
2025-12-08,12295,12274.77,0.16
2025-12-09,12285,12277.99,0.06
2025-12-10,12265,12251.45,0.11
2025-12-11,12250,12325.41,-0.61
2025-12-12,12365,12357.0,0.06
2025-12-15,12240,12203.34,0.3
2025-12-16,12165,12234.11,-0.56
2025-12-17,12240,12228.18,0.1
2025-12-18,12100,12074.51,0.21
2025-12-19,12160,12153.62,0.05
2025-12-22,12325,12291.47,0.27
2025-12-23,12390,12399.92,-0.08
2025-12-24,12205,12173.18,0.26
2025-12-26,12140,12132.32,0.06
2025-12-29,12050,12037.47,0.1
2025-12-30,12085,12071.67,0.11
2026-01-02,12055,11990.1,0.54
2026-01-05,12050,12031.02,0.16
2026-01-06,12145,12121.25,0.2
2026-01-07,12205,12199.17,0.05
2026-01-08,12155,12196.65,-0.34
2026-01-09,12260,12256.74,0.03
2026-01-12,12355,12427.07,-0.58
2026-01-13,12485,12492.07,-0.06
2026-01-14,12475,12500.15,-0.2
2026-01-15,12385,12369.25,0.13
2026-01-16,12470,12434.06,0.29
2026-01-19,12325,12427.24,-0.82
2026-01-20,12315,12464.18,-1.2
2026-01-21,12190,12152.25,0.31
2026-01-22,12290,12281.22,0.07
2026-01-23,12345,12313.08,0.26
2026-01-26,12095,12106.69,-0.1
2026-01-27,12220,12213.81,0.05
2026-01-28,12105,12063.38,0.35
2026-01-29,12110,12094.57,0.13
2026-01-30,12095,12190.01,-0.78
2026-02-02,12170,12346.4,-1.43
2026-02-03,12290,12253.88,0.29
2026-02-04,12205,12190.78,0.12
2026-02-05,12280,12284.96,-0.04
2026-02-06,12120,12138.41,-0.15
2026-02-09,12305,12300.72,0.03
2026-02-10,12330,12349.12,-0.15
2026-02-11,12255,12232.99,0.18
2026-02-12,12190,12149.35,0.33
2026-02-13,11970,11998.81,-0.24
2026-02-19,12105,12091.75,0.11
2026-02-20,12105,12068.27,0.3
2026-02-23,12015,12097.0,-0.68
2026-02-24,12015,11992.56,0.19
2026-02-25,11980,11975.55,0.04
2026-02-26,12020,12043.06,-0.19
2026-02-27,12030,12093.41,-0.52
2026-03-03,12155,12266.94,-0.91
2026-03-04,12155,12235.0,-0.65
2026-03-05,12215,12262.43,-0.39
2026-03-06,12270,12262.0,0.07
2026-03-09,12055,12256.2,-1.64
2026-03-10,12130,12143.6,-0.11
2026-03-11,12120,12066.81,0.44
2026-03-12,12070,12177.46,-0.88
2026-03-13,12105,12092.82,0.1
2026-03-16,12115,12051.33,0.53
2026-03-17,12075,12142.87,-0.56
2026-03-18,12150,12088.61,0.51
2026-03-19,12050,12066.86,-0.14
2026-03-20,12030,12031.22,-0.01
2026-03-23,11905,11980.02,-0.63
2026-03-24,11900,11942.28,-0.35
2026-03-25,11995,11932.97,0.52
2026-03-26,12010,12055.93,-0.38
2026-03-27,11935,11860.67,0.63
2026-03-30,11735,11714.42,0.18
2026-03-31,11890,11778.92,0.94
2026-04-01,11975,11894.58,0.68
2026-04-02,11960,12126.68,-1.37
2026-04-03,12015,12025.0,-0.08
2026-04-06,12025,12033.75,-0.07
2026-04-07,12025,12070.77,-0.38
2026-04-08,12135,11810.76,2.75
2026-04-09,12175,12204.05,-0.24
2026-04-10,12265,12279.65,-0.12
2026-04-13,12250,12322.32,-0.59
2026-04-14,12380,12380.28,-0.0
2026-04-15,12470,12467.13,0.02
2026-04-16,12595,12568.71,0.21
2026-04-17,12675,12677.2,-0.02
2026-04-20,12700,12775.51,-0.59
2026-04-21,12705,12670.63,0.27
2026-04-22,12725,12654.32,0.56
2026-04-23,12775,12829.48,-0.42
2026-04-24,12810,12806.84,0.02
2026-04-27,12790,12804.92,-0.12
2026-04-28,12820,12830.45,-0.08
2026-04-29,12825,12814.48,0.08
2026-04-30,12805,12846.55,-0.32
2026-05-04,12860,12836.66,0.18
2026-05-06,12860,12821.4,0.3
2026-05-07,13000,12997.81,0.02
2026-05-08,13135,13106.02,0.22
2026-05-11,13220,13223.74,-0.03
2026-05-12,13350,13407.18,-0.43
2026-05-13,13420,13392.41,0.21
2026-05-14,13520,13474.45,0.34
2026-05-15,13580,13666.64,-0.63
2026-05-18,13400,13495.71,-0.71
2026-05-19,13510,13553.6,-0.32
2026-05-20,13480,13455.25,0.18
2026-05-21,13585,13594.32,-0.07
2026-05-22,13755,13719.2,0.26
