,종가,NAV,괴리율
2025-08-05,10755,10730.95,0.22
2025-08-06,10680,10661.7,0.17
2025-08-07,10750,10734.43,0.15
2025-08-08,10840,10833.07,0.06
2025-08-11,10925,10923.15,0.02
2025-08-12,10900,10900.1,-0.0
2025-08-13,10985,10979.47,0.05
2025-08-14,10970,10986.29,-0.15
2025-08-18,10940,10947.88,-0.07
2025-08-19,10960,10994.63,-0.31
2025-08-20,10845,10900.72,-0.51
2025-08-21,10835,10837.73,-0.03
2025-08-22,10720,10750.0,-0.28
2025-08-25,10840,10849.22,-0.08
2025-08-26,10885,10901.49,-0.15
2025-08-27,10955,10951.3,0.03
2025-08-28,10875,10902.56,-0.25
2025-08-29,10970,10985.39,-0.14
2025-09-01,10840,10879.62,-0.36
2025-09-02,10835,10857.97,-0.21
2025-09-03,10820,10783.06,0.34
2025-09-04,10875,10868.4,0.06
2025-09-05,11005,10957.76,0.43
2025-09-08,10985,10964.76,0.18
2025-09-09,11010,10994.78,0.14
2025-09-10,11040,11020.14,0.18
2025-09-11,11080,11059.58,0.18
2025-09-12,11100,11097.07,0.03
2025-09-15,11160,11149.25,0.1
2025-09-16,11180,11161.07,0.17
2025-09-17,11160,11161.64,-0.01
2025-09-18,11255,11199.84,0.49
2025-09-19,11350,11352.73,-0.02
2025-09-22,11410,11423.25,-0.12
2025-09-23,11490,11486.09,0.03
2025-09-24,11460,11442.38,0.15
2025-09-25,11430,11431.87,-0.02
2025-09-26,11490,11477.61,0.11
2025-09-29,11470,11416.68,0.47
2025-09-30,11510,11500.77,0.08
2025-10-01,11470,11535.02,-0.56
2025-10-02,11590,11565.29,0.21
2025-10-10,11910,11877.05,0.28
2025-10-13,11700,11501.57,1.73
2025-10-14,11685,11792.37,-0.91
2025-10-15,11695,11632.87,0.53
2025-10-16,11715,11683.23,0.27
2025-10-17,11580,11667.6,-0.75
2025-10-20,11785,11726.48,0.5
2025-10-21,11945,11949.72,-0.04
2025-10-22,11975,11959.39,0.13
2025-10-23,11950,11921.56,0.24
2025-10-24,12060,12005.04,0.46
2025-10-27,12225,12083.77,1.17
2025-10-28,12350,12353.71,-0.03
2025-10-29,12455,12392.13,0.51
2025-10-30,12375,12397.93,-0.18
2025-10-31,12340,12197.52,1.17
2025-11-03,12315,12294.46,0.17
2025-11-04,12265,12426.9,-1.3
2025-11-05,12245,12267.14,-0.18
2025-11-06,12310,12340.09,-0.24
2025-11-07,12225,12180.5,0.37
2025-11-10,12245,12100.71,1.19
2025-11-11,12450,12469.09,-0.15
2025-11-12,12505,12451.45,0.43
2025-11-13,12515,12460.33,0.44
2025-11-14,12095,12115.85,-0.17
2025-11-17,12210,12131.69,0.65
2025-11-18,12005,12090.56,-0.71
2025-11-19,11925,11948.7,-0.2
2025-11-20,12245,12034.36,1.75
2025-11-21,11815,11812.04,0.03
2025-11-24,11995,11914.36,0.68
2025-11-25,12170,12186.13,-0.13
2025-11-26,12250,12199.91,0.41
2025-11-27,12310,12300.89,0.07
2025-11-28,12400,12348.41,0.42
2025-12-01,12330,12438.57,-0.87
2025-12-02,12355,12381.1,-0.21
2025-12-03,12500,12481.07,0.15
2025-12-04,12555,12552.28,0.02
2025-12-05,12545,12500.4,0.36
2025-12-08,12570,12539.23,0.25
2025-12-09,12545,12554.39,-0.07
2025-12-10,12565,12558.13,0.05
2025-12-11,12485,12615.83,-1.04
2025-12-12,12565,12577.95,-0.1
2025-12-15,12350,12315.9,0.28
2025-12-16,12200,12302.93,-0.84
2025-12-17,12365,12357.6,0.06
2025-12-18,12150,12106.3,0.36
2025-12-19,12290,12271.65,0.15
2025-12-22,12510,12461.86,0.39
2025-12-23,12535,12547.23,-0.1
2025-12-24,12330,12323.13,0.06
2025-12-26,12290,12275.26,0.12
2025-12-29,12185,12180.16,0.04
2025-12-30,12195,12201.31,-0.05
2026-01-02,12195,12093.52,0.84
2026-01-05,12140,12088.58,0.43
2026-01-06,12235,12195.11,0.33
2026-01-07,12300,12311.08,-0.09
2026-01-08,12290,12358.14,-0.55
2026-01-09,12350,12346.34,0.03
2026-01-12,12450,12562.98,-0.9
2026-01-13,12600,12618.39,-0.15
2026-01-14,12600,12628.24,-0.22
2026-01-15,12465,12428.07,0.3
2026-01-16,12550,12499.62,0.4
2026-01-19,12360,12491.11,-1.05
2026-01-20,12345,12527.77,-1.46
2026-01-21,12245,12206.56,0.31
2026-01-22,12370,12359.53,0.08
2026-01-23,12450,12418.01,0.26
2026-01-26,12225,12247.23,-0.18
2026-01-27,12390,12345.14,0.36
2026-01-28,12350,12250.69,0.81
2026-01-29,12360,12322.63,0.3
2026-01-30,12255,12369.49,-0.93
2026-02-02,12205,12421.36,-1.74
2026-02-03,12415,12351.43,0.51
2026-02-04,12200,12200.1,-0.0
2026-02-05,12150,12139.75,0.08
2026-02-06,11945,11976.97,-0.27
2026-02-09,12155,12156.49,-0.01
2026-02-10,12215,12240.33,-0.21
2026-02-11,12130,12098.11,0.26
2026-02-12,12080,12051.01,0.24
2026-02-13,11810,11843.54,-0.28
2026-02-19,11975,11950.71,0.2
2026-02-20,11955,11912.52,0.36
2026-02-23,11850,11961.19,-0.93
2026-02-24,11870,11836.48,0.28
2026-02-25,11860,11855.71,0.04
2026-02-26,11960,11992.17,-0.27
2026-02-27,11915,11966.9,-0.43
2026-03-03,12040,12165.53,-1.03
2026-03-04,12005,12115.8,-0.91
2026-03-05,12175,12231.84,-0.46
2026-03-06,12295,12265.16,0.24
2026-03-09,12050,12237.07,-1.53
2026-03-10,12170,12182.51,-0.1
2026-03-11,12175,12139.29,0.29
2026-03-12,12165,12264.72,-0.81
2026-03-13,12150,12153.77,-0.03
