,종가,NAV,괴리율
2025-08-01,41723,42189.52,-0.12
2025-08-04,42203,42601.94,0.05
2025-08-05,42777,43243.75,-0.09
2025-08-06,42753,43193.2,-0.03
2025-08-07,43119,43659.62,-0.25
2025-08-08,43015,43494.38,-0.11
2025-08-11,43025,43476.73,-0.05
2025-08-12,42886,43309.6,0.01
2025-08-13,43327,43836.66,-0.17
2025-08-14,43287,43806.34,-0.2
2025-08-18,42634,43065.18,-0.01
2025-08-19,42332,42762.28,-0.02
2025-08-20,42079,42511.54,-0.03
2025-08-21,42183,42594.39,0.02
2025-08-22,42535,43000.38,-0.09
2025-08-25,43055,43536.64,-0.12
2025-08-26,42649,43096.79,-0.05
2025-08-27,42718,43185.09,-0.09
2025-08-28,42936,43361.45,0.01
2025-08-29,42773,43190.04,0.02
2025-09-01,42055,42508.27,-0.08
2025-09-02,42500,42991.17,-0.15
2025-09-03,42713,43212.09,-0.17
2025-09-04,42872,43407.16,-0.25
2025-09-05,43045,43467.48,0.02
2025-09-08,43213,43665.87,-0.05
2025-09-09,43802,44307.53,-0.15
2025-09-10,44723,45185.7,-0.03
2025-09-11,45015,45582.87,-0.26
2025-09-12,45926,46459.96,-0.16
2025-09-15,46198,46651.13,0.02
2025-09-16,46951,47471.07,-0.11
2025-09-17,46377,46883.96,-0.09
2025-09-18,47188,47718.77,-0.12
2025-09-19,47015,47530.0,-0.09
2025-09-22,47476,48017.24,-0.14
2025-09-23,47857,48343.89,-0.02
2025-09-24,47708,48223.56,-0.08
2025-09-25,47723,48248.61,-0.1
2025-09-26,46580,46987.97,0.12
2025-09-29,47292,47762.91,0.0
2025-09-30,47164,47639.83,-0.01
2025-10-01,47659,48176.13,-0.09
2025-10-02,49080,49579.47,-0.02
2025-10-10,50327,50941.86,-0.22
2025-10-13,49867,50431.38,-0.13
2025-10-14,49362,49929.02,-0.15
2025-10-15,50733,51298.76,-0.11
2025-10-16,52065,52687.81,-0.2
2025-10-17,52213,52795.34,-0.11
2025-10-20,53169,53778.19,-0.15
2025-10-21,53283,53779.68,0.07
2025-10-22,53887,54507.79,-0.15
2025-10-23,53317,53884.76,-0.06
2025-10-24,54708,55250.89,0.01
2025-10-27,56213,56821.82,-0.08
2025-10-28,55654,56204.43,0.01
2025-10-29,56817,57268.7,0.2
2025-10-30,57016,57635.35,-0.33
2025-10-31,57711,58064.34,0.14
2025-11-03,59482,60025.65,-0.16
2025-11-04,57845,58321.52,-0.07
2025-11-05,56242,56664.78,0.0
2025-11-06,56549,56965.0,0.02
2025-11-07,55527,55925.13,0.04
2025-11-10,57224,57663.31,-0.01
2025-11-11,57760,58283.28,-0.15
2025-11-12,58361,58816.44,-0.03
2025-11-13,58629,59019.81,0.09
2025-11-14,56088,56493.15,0.03
2025-11-17,57284,57814.98,-0.17
2025-11-18,55383,55789.33,0.02
2025-11-19,54996,55413.79,-0.01
2025-11-20,56177,56569.66,0.05
2025-11-21,53820,54180.37,0.08
2025-11-24,53805,54265.04,-0.1
