ISIN,종목코드,구성종목코드,구성종목명,현재가,구성금액,평가금액,비중
KR7495330003,495330,000660,SK하이닉스,1645000,603715000,584631000,18.45
KR7495330003,495330,005930,삼성전자,274500,559431000,546184000,17.1
KR7495330003,495330,402340,SK스퀘어,1154000,282730000,273665000,8.64
KR7495330003,495330,005380,현대차,453000,164439000,151915500,5.03
KR7495330003,495330,105560,KB금융,168500,136653500,136329100,4.18
KR7495330003,495330,055550,신한지주,107400,117817800,116940200,3.6
KR7495330003,495330,012450,한화에어로스페이스,1160000,100920000,103095000,3.08
KR7495330003,495330,000270,기아,141700,92246700,89447400,2.82
KR7495330003,495330,012330,현대모비스,547000,90802000,84826000,2.78
KR7495330003,495330,086790,하나금융지주,133000,88312000,86984000,2.7
KR7495330003,495330,316140,우리금융지주,33700,60019700,59307300,1.83
KR7495330003,495330,009540,HD한국조선해양,386000,48636000,46809000,1.49
KR7495330003,495330,000810,삼성화재,615000,48585000,48269000,1.49
KR7495330003,495330,267260,HD현대일렉트릭,803000,48180000,47100000,1.47
KR7495330003,495330,329180,HD현대중공업,510000,44370000,43152000,1.36
KR7495330003,495330,033780,KT&G,176000,42240000,41712000,1.29
KR7495330003,495330,017670,SK텔레콤,100500,39999000,36257800,1.22
KR7495330003,495330,030200,KT,53400,31452600,30922500,0.96
KR7495330003,495330,079550,LIG디펜스앤에어로스페이스,815000,29340000,30132000,0.9
KR7495330003,495330,267250,HD현대,235500,28495500,27709000,0.87
KR7495330003,495330,047810,한국항공우주,146400,27669600,28576800,0.85
KR7495330003,495330,006800,미래에셋증권,37650,27183300,27472100,0.83
KR7495330003,495330,042700,한미반도체,229000,25877000,25538000,0.79
KR7495330003,495330,278470,에이피알,390500,25382500,25967500,0.78
KR7495330003,495330,011070,LG이노텍,654000,24852000,23370000,0.76
KR7495330003,495330,138040,메리츠금융지주,116700,23106600,23482800,0.71
KR7495330003,495330,071050,한국금융지주,204000,22236000,21767300,0.68
KR7495330003,495330,028050,삼성E&A,49800,21015600,20678000,0.64
KR7495330003,495330,086280,현대글로비스,211000,20889000,20245500,0.64
KR7495330003,495330,005830,DB손해보험,176800,19271200,18159400,0.59
KR70139P0009,0139P0,161390,한국타이어앤테크놀로지,71600,50334800,50264500,7.16
KR70139P0009,0139P0,000810,삼성화재,615000,47355000,47047000,6.73
KR70139P0009,0139P0,003690,코리안리,15290,43408310,41648130,6.17
KR70139P0009,0139P0,001800,오리온홀딩스,26800,41915200,41211400,5.96
KR70139P0009,0139P0,005850,에스엘,61600,40101600,38409000,5.7
KR70139P0009,0139P0,005830,DB손해보험,176800,39956800,37651600,5.68
KR70139P0009,0139P0,005180,빙그레,82400,38233600,31876800,5.44
KR70139P0009,0139P0,000240,한국앤컴퍼니,26250,37773750,37414000,5.37
KR70139P0009,0139P0,175330,JB금융지주,28000,35168000,36863600,5.0
KR70139P0009,0139P0,316140,우리금융지주,33700,33935900,33533100,4.83
KR70139P0009,0139P0,004490,세방전지,58000,33814000,32239900,4.81
KR70139P0009,0139P0,016360,삼성증권,93000,33666000,33485000,4.79
KR70139P0009,0139P0,026960,동서,26300,31402200,31282800,4.47
KR70139P0009,0139P0,000270,기아,141700,31174000,30228000,4.43
KR70139P0009,0139P0,005940,NH투자증권,28750,30331250,29909250,4.31
KR70139P0009,0139P0,003470,유안타증권,4755,28325535,27878760,4.03
KR70139P0009,0139P0,064960,SNT모티브,28450,27738750,26910000,3.94
KR70139P0009,0139P0,138930,BNK금융지주,15130,26719580,26225100,3.8
KR70139P0009,0139P0,017940,E1,89500,25955000,24940000,3.69
KR70139P0009,0139P0,071050,한국금융지주,204000,25908000,25361900,3.68
KR7322410002,322410,316140,우리금융지주,33700,125802100,124308900,10.84
KR7322410002,322410,086790,하나금융지주,133000,125020000,123140000,10.77
KR7322410002,322410,030200,KT,53400,117106200,115132500,10.09
KR7322410002,322410,024110,기업은행,20400,110649600,108480000,9.53
KR7322410002,322410,003550,LG,120000,104280000,98805300,8.98
KR7322410002,322410,000270,기아,141700,102732500,99615000,8.85
