종목코드,배수,대표지수,구성종목수,순자산총액,상장주식수,ISIN,종목명
0004G0,1.0,Solactive U.S. Dividend TOP 30 Index PR,31,142,1500000,KR70004G0002,1Q 미국배당TOP30
495330,1.0,코리아 밸류업 지수,100,1376,4300000,KR7495330003,1Q 코리아밸류업
0139P0,1.0,KRX-Akros 고배당주 20 지수,21,501,3700000,KR70139P0009,ACE 고배당주
460960,1.0,Solactive Global Superior Income TOP 10 Price Return Index,11,875,7650000,KR7460960008,ACE 글로벌인컴TOP10
0085P0,1.0,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),16,1019,10500000,KR70085P0003,ACE 미국10년국채액티브
0085N0,1.0,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),16,321,3700000,KR70085N0005,ACE 미국10년국채액티브(H)
476760,1.0,Bloomberg U.S Treasury 20+ Year Total Return Index,25,3512,38400000,KR7476760004,ACE 미국30년국채액티브
453850,1.0,Bloomberg U.S Treasury 20+ Year Total Return Index,32,14974,209700000,KR7453850000,ACE 미국30년국채액티브(H)
476750,1.0,Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,24,607,8100000,KR7476750005,ACE 미국30년국채엔화노출액티브(H)
480030,1.0,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,3,1646,16000000,KR7480030006,ACE 미국500데일리타겟커버드콜(합성)
480040,1.0,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,3,2002,12800000,KR7480040005,ACE 미국반도체데일리타겟커버드콜(합성)
402970,1.0,Dow Jones U.S. Dividend 100 Price Return Index,100,9716,62100000,KR7402970008,ACE 미국배당다우존스
0046Y0,1.0,WisdomTree U.S. Quality Dividend Growth Index (Price Return),168,555,4250000,KR70046Y0000,ACE 미국배당퀄리티
0049M0,1.0,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,206,804,6900000,KR70049M0001,ACE 미국배당퀄리티+커버드콜액티브
0049K0,1.0,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,215,255,2250000,KR70049K0003,ACE 미국배당퀄리티채권혼합50
181480,1.0,Dow Jones U.S. Real Estate Index,2,102,120000,KR7181480005,ACE 미국부동산리츠(합성 H)
