KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
451060,55.59,123.55,20260102,20250807,20260806
491610,1.62,1.95,20260102,20250807,20260806
0103T0,-14.01,,20260102,20250807,20260806
463290,1.67,0.93,20260102,20250807,20260806
0131W0,1.6,,20260102,20250807,20260806
479080,1.9,2.11,20260102,20250807,20260806
0026S0,10.66,24.56,20260102,20250807,20260806
0052S0,4.55,13.87,20260102,20250807,20260806
0069M0,13.69,28.98,20260102,20250807,20260806
0111P0,6.43,,20260102,20250807,20260806
0083S0,-15.08,0.93,20260102,20250807,20260806
0004G0,7.43,7.07,20260102,20250807,20260806
0131V0,-9.87,,20260102,20250807,20260806
0094X0,-14.11,,20260102,20250807,20260806
0017Y0,-3.88,-7.17,20260102,20250807,20260806
0052T0,1.18,0.71,20260102,20250807,20260806
495330,66.7,143.58,20260102,20250807,20260806
492500,0.48,-0.79,20260102,20250807,20260806
473440,1.83,1.17,20260102,20250807,20260806
105190,57.39,126.69,20260102,20250807,20260806
332500,58.81,129.11,20260102,20250807,20260806
475260,1.61,1.37,20260102,20250807,20260806
385600,41.56,67.39,20260102,20250807,20260806
475270,1.76,1.37,20260102,20250807,20260806
475280,1.81,1.28,20260102,20250807,20260806
469150,74.66,231.01,20260102,20250807,20260806
0079X0,-15.57,3.25,20260102,20250807,20260806
385590,57.08,120.3,20260102,20250807,20260806
226380,-12.43,-20.57,20260102,20250807,20260806
475050,-43.65,-42.72,20260102,20250807,20260806
411060,-7.24,28.34,20260102,20250807,20260806
291130,5.82,26.82,20260102,20250807,20260806
256440,-35.85,-34.05,20260102,20250807,20260806
261920,-3.25,-3.29,20260102,20250807,20260806
0139P0,23.02,,20260102,20250807,20260806
225130,-17.61,27.72,20260102,20250807,20260806
483340,50.42,93.83,20260102,20250807,20260806
365780,-3.48,-9.71,20260102,20250807,20260806
114460,-1.16,-3.09,20260102,20250807,20260806
494340,62.7,62.63,20260102,20250807,20260806
446770,60.45,148.73,20260102,20250807,20260806
435040,-1.08,13.01,20260102,20250807,20260806
497510,5.81,37.39,20260102,20250807,20260806
460960,-0.95,5.97,20260102,20250807,20260806
414270,-4.86,7.54,20260102,20250807,20260806
440640,1.83,1.21,20260102,20250807,20260806
190620,1.43,-0.28,20260102,20250807,20260806
494330,93.71,125.53,20260102,20250807,20260806
265690,0.0,0.0,20260102,20250807,20260806
152500,84.47,266.8,20260102,20250807,20260806
483330,19.02,14.21,20260102,20250807,20260806
487340,2.01,1.74,20260102,20250807,20260806
0085P0,-4.02,0.25,20260102,20250807,20260806
0085N0,-3.16,-3.4,20260102,20250807,20260806
452250,-9.11,-12.64,20260102,20250807,20260806
476760,-5.89,-2.73,20260102,20250807,20260806
453850,-5.0,-6.78,20260102,20250807,20260806
476750,-8.3,-12.13,20260102,20250807,20260806
480030,-2.47,3.25,20260102,20250807,20260806
0118Z0,7.85,,20260102,20250807,20260806
280320,4.47,1.1,20260102,20250807,20260806
360200,10.63,25.17,20260102,20250807,20260806
438080,5.37,11.62,20260102,20250807,20260806
309230,3.65,18.44,20260102,20250807,20260806
367380,13.79,29.34,20260102,20250807,20260806
438100,7.13,14.51,20260102,20250807,20260806
456880,0.65,6.86,20260102,20250807,20260806
440650,0.17,3.07,20260102,20250807,20260806
0127M0,21.25,,20260102,20250807,20260806
0127P0,8.63,,20260102,20250807,20260806
480040,26.28,60.77,20260102,20250807,20260806
402970,20.39,30.18,20260102,20250807,20260806
0046Y0,9.96,21.1,20260102,20250807,20260806
0049M0,2.43,11.31,20260102,20250807,20260806
0049K0,3.81,9.03,20260102,20250807,20260806
181480,8.01,5.79,20260102,20250807,20260806
480020,-12.73,-2.11,20260102,20250807,20260806
465580,9.43,29.26,20260102,20250807,20260806
465610,11.75,50.92,20260102,20250807,20260806
465620,-12.22,-29.11,20260102,20250807,20260806
473590,-11.24,1.64,20260102,20250807,20260806
0008E0,18.19,32.25,20260102,20250807,20260806
391600,0.86,23.76,20260102,20250807,20260806
455660,-3.27,-4.54,20260102,20250807,20260806
245710,-7.83,12.22,20260102,20250807,20260806
131890,42.63,83.02,20260102,20250807,20260806
108450,58.51,119.7,20260102,20250807,20260806
316300,-7.56,3.63,20260102,20250807,20260806
277540,28.88,60.93,20260102,20250807,20260806
483320,64.69,132.02,20260102,20250807,20260806
448540,6.06,8.54,20260102,20250807,20260806
0099L0,0.47,,20260102,20250807,20260806
433500,28.66,55.6,20260102,20250807,20260806
0102X0,8.59,,20260102,20250807,20260806
487920,-5.82,3.53,20260102,20250807,20260806
487910,-5.78,-0.28,20260102,20250807,20260806
145670,-51.34,-66.79,20260102,20250807,20260806
497520,2.83,28.77,20260102,20250807,20260806
238720,32.98,63.58,20260102,20250807,20260806
196030,38.84,80.42,20260102,20250807,20260806
205720,-19.64,-31.17,20260102,20250807,20260806
469160,61.21,120.98,20260102,20250807,20260806
356540,-3.7,-7.19,20260102,20250807,20260806
447430,6.48,4.62,20260102,20250807,20260806
416090,27.44,74.52,20260102,20250807,20260806
168580,2.03,22.3,20260102,20250807,20260806
219900,-2.71,38.64,20260102,20250807,20260806
272910,-0.58,-2.92,20260102,20250807,20260806
0087F0,15.63,31.66,20260102,20250807,20260806
371870,-17.71,-10.95,20260102,20250807,20260806
380340,64.91,144.88,20260102,20250807,20260806
496120,71.01,148.51,20260102,20250807,20260806
354500,-13.68,1.82,20260102,20250807,20260806
305050,46.15,97.25,20260102,20250807,20260806
457480,-19.09,17.08,20260102,20250807,20260806
469170,-3.01,6.62,20260102,20250807,20260806
466810,-6.38,4.62,20260102,20250807,20260806
457930,29.81,78.66,20260102,20250807,20260806
487750,77.29,217.8,20260102,20250807,20260806
445690,28.51,61.66,20260102,20250807,20260806
0120J0,-25.13,,20260102,20250807,20260806
486240,68.77,165.92,20260102,20250807,20260806
434960,57.42,126.77,20260102,20250807,20260806
0098Z0,57.87,,20260102,20250807,20260806
448570,38.37,78.61,20260102,20250807,20260806
285690,30.51,50.27,20260102,20250807,20260806
0073X0,-12.01,-7.38,20260102,20250807,20260806
293180,57.67,127.07,20260102,20250807,20260806
407310,37.4,81.78,20260102,20250807,20260806
332930,59.05,129.6,20260102,20250807,20260806
304780,84.54,271.31,20260102,20250807,20260806
306520,-51.59,-66.73,20260102,20250807,20260806
0123S0,1.4,,20260102,20250807,20260806
0091M0,1.1,,20260102,20250807,20260806
448490,-3.78,-8.22,20260102,20250807,20260806
454320,27.46,60.45,20260102,20250807,20260806
395290,-44.59,-44.44,20260102,20250807,20260806
395280,-5.45,-16.32,20260102,20250807,20260806
368190,-7.54,-2.52,20260102,20250807,20260806
402460,65.84,84.86,20260102,20250807,20260806
395270,119.79,313.62,20260102,20250807,20260806
438900,-3.52,-11.16,20260102,20250807,20260806
367740,79.56,160.65,20260102,20250807,20260806
407300,12.45,25.51,20260102,20250807,20260806
381560,67.17,104.42,20260102,20250807,20260806
441540,-3.61,0.02,20260102,20250807,20260806
381570,21.25,23.22,20260102,20250807,20260806
479850,23.69,3.02,20260102,20250807,20260806
453060,1.53,2.59,20260102,20250807,20260806
304760,53.04,116.77,20260102,20250807,20260806
322410,22.82,32.57,20260102,20250807,20260806
332940,62.59,143.11,20260102,20250807,20260806
322400,-14.65,-15.34,20260102,20250807,20260806
473640,-3.72,55.23,20260102,20250807,20260806
354350,-7.15,6.75,20260102,20250807,20260806
461340,60.76,80.56,20260102,20250807,20260806
401590,-7.18,15.36,20260102,20250807,20260806
0040S0,49.35,81.78,20260102,20250807,20260806
314700,2.34,4.79,20260102,20250807,20260806
486830,1.81,2.53,20260102,20250807,20260806
432840,10.54,24.65,20260102,20250807,20260806
498050,-29.11,-6.83,20260102,20250807,20260806
476260,26.33,86.53,20260102,20250807,20260806
434730,17.62,47.39,20260102,20250807,20260806
0082F0,10.1,11.98,20260102,20250807,20260806
491820,43.22,103.66,20260102,20250807,20260806
461500,-3.49,-8.71,20260102,20250807,20260806
0111J0,28.78,,20260102,20250807,20260806
495750,67.74,143.64,20260102,20250807,20260806
304770,-14.25,0.82,20260102,20250807,20260806
306530,-44.77,-25.45,20260102,20250807,20260806
375760,53.17,114.79,20260102,20250807,20260806
491700,57.57,125.6,20260102,20250807,20260806
0000Y0,1.6,-0.81,20260102,20250807,20260806
215620,-2.42,0.13,20260102,20250807,20260806
0113P0,1.75,,20260102,20250807,20260806
391670,55.58,110.5,20260102,20250807,20260806
472920,-3.5,-12.11,20260102,20250807,20260806
472840,56.54,124.83,20260102,20250807,20260806
0005G0,103.08,254.19,20260102,20250807,20260806
0135Y0,0.21,,20260102,20250807,20260806
483570,5.16,23.61,20260102,20250807,20260806
069660,57.69,126.91,20260102,20250807,20260806
294400,59.18,129.72,20260102,20250807,20260806
253250,84.35,266.88,20260102,20250807,20260806
253240,-52.09,-67.39,20260102,20250807,20260806
253230,-83.61,-92.58,20260102,20250807,20260806
464240,0.01,-1.07,20260102,20250807,20260806
458210,1.67,2.69,20260102,20250807,20260806
488200,12.39,31.31,20260102,20250807,20260806
488210,38.71,117.69,20260102,20250807,20260806
100910,58.07,132.0,20260102,20250807,20260806
435530,8.2,18.13,20260102,20250807,20260806
435540,10.4,22.66,20260102,20250807,20260806
435550,11.05,25.15,20260102,20250807,20260806
148070,-3.44,-10.01,20260102,20250807,20260806
167860,-7.18,-17.92,20260102,20250807,20260806
471460,-19.96,-28.6,20260102,20250807,20260806
114470,-1.03,-2.85,20260102,20250807,20260806
473490,42.78,62.85,20260102,20250807,20260806
489860,18.67,34.24,20260102,20250807,20260806
130730,1.54,-0.57,20260102,20250807,20260806
419890,1.03,-1.28,20260102,20250807,20260806
411860,-0.73,6.54,20260102,20250807,20260806
476450,1.83,0.06,20260102,20250807,20260806
430500,-0.44,-3.83,20260102,20250807,20260806
449770,10.2,24.55,20260102,20250807,20260806
0127V0,8.37,,20260102,20250807,20260806
0137W0,9.01,,20260102,20250807,20260806
0127T0,12.44,,20260102,20250807,20260806
449780,11.02,18.86,20260102,20250807,20260806
0137V0,21.88,,20260102,20250807,20260806
0107F0,16.38,,20260102,20250807,20260806
453080,13.9,22.53,20260102,20250807,20260806
460270,0.47,6.85,20260102,20250807,20260806
138230,0.48,5.12,20260102,20250807,20260806
225800,-2.13,7.54,20260102,20250807,20260806
139660,0.99,-3.66,20260102,20250807,20260806
230480,0.11,-9.98,20260102,20250807,20260806
0084E0,5.22,,20260102,20250807,20260806
373790,3.26,8.72,20260102,20250807,20260806
