ISIN,KRX코드,종목명,운용사,총보수,시가총액,종가,NAV,상장일,자산분류,시장분류,운용방식,과세유형,기초지수명,투자지역,테마섹터,전략,기준일자
KR70193M0005,0193M0,BNK 27-12 특수채(AAA이상)액티브,비엔케이자산운용,0.07,106376480000,50320,50297.27,2026-06-16,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 27-12 특수채 총수익 지수(AAA이상),한국,채권·금리,일반,20260805
KR7466810009,466810,BNK 2차전지양극재,비엔케이자산운용,0.395,7467500000,5150,5150.49,2023-10-19,주식,국내,실물(패시브),비과세,iSelect 2차전지양극재 지수,한국,2차전지,일반,20260805
KR7457930006,457930,BNK 미래전략기술액티브,비엔케이자산운용,0.495,8097000000,26990,26884.24,2023-06-20,주식,국내,실물(액티브),배당소득세(보유기간과세),iSelect 미래전략기술 지수 (PR),한국,기타,일반,20260805
KR70218K0008,0218K0,BNK 스마트카,비엔케이자산운용,0.45,7860000000,10480,10458.78,2026-07-21,주식,국내,실물(패시브),비과세,FnGuide 스마트카 지수,한국,자동차,일반,20260805
KR7487750002,487750,BNK 온디바이스AI,비엔케이자산운용,0.395,11452000000,28630,28642.48,2024-07-23,주식,국내,실물(패시브),비과세,FnGuide 온디바이스AI 지수,한국,AI·테크,일반,20260805
KR7445690001,445690,BNK 주주가치액티브,비엔케이자산운용,0.495,17859000000,29765,29634.11,2022-10-27,주식,국내,실물(액티브),배당소득세(보유기간과세),FnGuide 주주가치 지수,한국,배당주,일반,20260805
KR70120J0008,0120J0,BNK 카카오그룹포커스,비엔케이자산운용,0.395,9918750000,7935,7903.45,2025-12-02,주식,국내,실물(패시브),비과세,FnGuide 카카오그룹 포커스 지수,한국,개별종목,일반,20260805
KR70112X0000,0112X0,마이티 200TR,디비자산운용,0.05,35149500000,39055,39205.18,2025-10-28,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 TR,한국,광범위지수,일반,20260805
KR7465780005,465780,마이티 26-09 특수채(AAA)액티브,디비자산운용,0.06,102256155000,106185,106197.51,2023-09-21,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 26-09 특수채 지수(총수익),한국,채권·금리,일반,20260805
KR70191M0007,0191M0,마이티 5월만기자동연장특수채(AAA)액티브,디비자산운용,0.06,41619420000,100530,100544.15,2026-06-02,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 5월 만기자동연장 특수채(AAA) 총수익 지수,한국,채권·금리,일반,20260805
KR70222F0009,0222F0,마이티 AI데이터센터밸류체인,디비자산운용,0.365,9916000000,12395,12347.62,2026-08-04,주식,국내,실물(패시브),비과세,KAP AI데이터센터밸류체인지수,한국,AI·테크,일반,20260805
KR7442260006,442260,마이티 다이나믹퀀트액티브,디비자산운용,0.295,48186600000,36505,36341.28,2022-10-25,주식,국내,실물(액티브),배당소득세(보유기간과세),코스피 200,한국,광범위지수,일반,20260805
KR70001P0004,0001P0,마이티 바이오시밀러&CDMO액티브,디비자산운용,0.805,10444000000,9325,9273.99,2024-12-24,주식,국내,실물(액티브),배당소득세(보유기간과세),FnGuide 바이오시밀러&CDMO 지수,한국,바이오·헬스케어,일반,20260805
KR7159800002,159800,마이티 코스피100,디비자산운용,0.375,23262400000,83080,83043.41,2012-07-05,주식,국내,실물(패시브),비과세,코스피 100,한국,광범위지수,일반,20260805
KR7472840008,472840,IBK 200,아이비케이자산운용,0.08,38975625000,103935,103844.14,2023-12-21,주식,국내,실물(패시브),비과세,코스피 200,한국,광범위지수,일반,20260805
KR70005G0001,0005G0,IBK K-AI반도체코어테크,아이비케이자산운용,0.28,163012500000,47250,47107.07,2025-01-21,주식,국내,실물(패시브),비과세,FnGuide K-AI반도체 코어테크 지수,한국,반도체,일반,20260805
KR70178H0001,0178H0,IBK 미국AI TOP10국채혼합50,아이비케이자산운용,0.25,47267250000,10165,10112.05,2026-04-28,혼합자산,국내&해외,실물(패시브),배당소득세(보유기간과세),FnGuide 미국AI TOP10국채혼합 지수,미국,AI·테크,혼합,20260805
KR70135Y0002,0135Y0,IBK 중기종합채권(AA-이상)액티브,아이비케이자산운용,0.041,114257130000,100490,100529.05,2025-12-16,채권,국내,실물(액티브),배당소득세(보유기간과세),"KIS 중기종합채권 (1~5Y, AA-이상, 총수익)",한국,채권·금리,일반,20260805
KR70221V0000,0221V0,IBK 초단기채권액티브,아이비케이자산운용,0.05,102068135000,100165,100179.46,2026-07-21,채권,국내,실물(액티브),배당소득세(보유기간과세),KIS 단기자금 총수익지수,한국,채권·금리,일반,20260805
KR70191S0001,0191S0,IBK 코스닥150,아이비케이자산운용,0.105,10108400000,13660,13656.76,2026-05-19,주식,국내,실물(패시브),비과세,코스닥 150,한국,광범위지수,일반,20260805
KR70208N0007,0208N0,IBK 코스피액티브,아이비케이자산운용,0.415,12003750000,7275,7236.99,2026-06-23,주식,국내,실물(액티브),배당소득세(보유기간과세),코스피,한국,광범위지수,일반,20260805
KR7361580004,361580,RISE 200TR,케이비자산운용,0.012,474800000000,59350,59319.28,2020-08-21,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 TR,한국,광범위지수,일반,20260805
KR7290080001,290080,RISE 200고배당커버드콜ATM,케이비자산운용,0.4,12468750000,7125,7141.21,2018-02-27,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 고배당커버드콜 ATM 지수(시장가격지수),한국,배당주,커버드콜,20260805
KR7284980000,284980,RISE 200금융,케이비자산운용,0.19,18031800000,21990,22034.71,2017-12-08,주식,국내,실물(패시브),비과세,코스피 200 금융,한국,금융,일반,20260805
KR7252400007,252400,RISE 200선물레버리지,케이비자산운용,0.022,66895500000,95565,95626.92,2016-09-12,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260805
KR7252420005,252420,RISE 200선물인버스2X,케이비자산운용,0.022,4540900000,91,91.35,2016-09-22,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260805
KR7252410006,252410,RISE 200선물인버스,케이비자산운용,0.022,2776000000,1388,1389.39,2016-09-12,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260805
KR7475720009,475720,RISE 200위클리커버드콜,케이비자산운용,0.3,781348500000,12030,12016.43,2024-03-05,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 위클리 커버드콜 ATM 지수,한국,광범위지수,커버드콜,20260805
KR7148020001,148020,RISE 200,케이비자산운용,0.017,4442587500000,105150,105121.43,2011-10-20,주식,국내,실물(패시브),비과세,코스피 200,한국,광범위지수,일반,20260805
