ISIN,기준일,순위,구성종목코드,구성종목명,주식수,비중,전일종가
KR7466810009,20260813,1,096770,SK이노베이션,260,11.27,121700
KR7466810009,20260813,2,006400,삼성SDI,53,9.12,487000
KR7466810009,20260813,3,373220,엘지에너지솔루션,69,8.76,365500
KR7466810009,20260813,4,005070,코스모신소재,616,8.66,40600
KR7466810009,20260813,5,005490,포스코홀딩스,75,8.64,325500
KR7466810009,20260813,6,003670,포스코퓨처엠,145,8.22,165900
KR7466810009,20260813,7,051910,LG화학,84,8.2,275500
KR7466810009,20260813,8,005420,코스모화학,2189,8.1,10540
KR7466810009,20260813,9,086520,에코프로,246,7.96,92100
KR7466810009,20260813,10,066970,엘앤에프,213,7.5,102600
KR7457930006,20260813,1,005930,삼성전자,614,11.41,268000
KR7457930006,20260813,2,000660,에스케이하이닉스,89,9.74,1593000
KR7457930006,20260813,3,068270,셀트리온,209,3.07,202000
KR7457930006,20260813,4,012450,한화에어로스페이스,36,3.03,1185000
KR7457930006,20260813,5,207940,삼성바이오로직스,25,2.82,1564000
KR7457930006,20260813,6,196170,알테오젠,118,2.73,317500
KR7457930006,20260813,7,005380,현대자동차,91,2.71,418500
KR7457930006,20260813,8,034020,두산에너빌리티,445,2.6,80900
KR7457930006,20260813,9,028260,삼성물산,94,2.44,365000
KR7457930006,20260813,10,000270,기아,247,2.44,137400
KR70218K0008,20260813,1,009150,삼성전기,70,17.44,1503000
KR70218K0008,20260813,2,005380,현대자동차,176,13.45,418500
KR70218K0008,20260813,3,000270,기아,383,9.69,137400
KR70218K0008,20260813,4,012330,현대모비스,104,9.68,511000
KR70218K0008,20260813,5,006400,삼성SDI,80,7.25,487000
KR70218K0008,20260813,6,066570,LG전자,166,6.35,206500
KR70218K0008,20260813,7,204320,에이치엘만도,594,6,55500
KR70218K0008,20260813,8,373220,엘지에너지솔루션,60,4.01,365500
KR70218K0008,20260813,9,064960,에스앤티모티브,669,3.47,27600
KR70218K0008,20260813,10,437730,삼현,458,3.26,38400
KR7487750002,20260813,1,005930,삼성전자,1275,22.9,268000
KR7487750002,20260813,2,000660,에스케이하이닉스,180,19.03,1593000
KR7487750002,20260813,3,009150,삼성전기,96,9.01,1503000
KR7487750002,20260813,4,420770,기가비스,551,4.56,117900
KR7487750002,20260813,5,323280,태성,1108,3.87,51000
KR7487750002,20260813,6,080220,제주반도체,610,3.73,88300
KR7487750002,20260813,7,222800,심텍,500,3.68,105800
KR7487750002,20260813,8,036540,에스에프에이반도체,7970,3.45,6230
KR7487750002,20260813,9,011070,LG이노텍,74,3.14,615000
KR7487750002,20260813,10,058470,리노공업,592,2.97,71300
KR7445690001,20260813,1,005930,삼성전자,1020,18.1,268000
KR7445690001,20260813,2,000660,에스케이하이닉스,169,17.65,1593000
KR7445690001,20260813,3,005380,현대자동차,166,4.72,418500
KR7445690001,20260813,4,000270,기아,351,3.31,137400
KR7445690001,20260813,5,105560,KB금융지주,269,3.1,168100
KR7445690001,20260813,6,055550,신한금융지주회사,429,3.09,106600
KR7445690001,20260813,7,259960,크래프톤,179,2.92,234500
KR7445690001,20260813,8,021240,코웨이,417,2.77,97200
KR7445690001,20260813,9,042660,한화오션,343,2.15,90700
KR7445690001,20260813,10,096530,씨젠,771,1.71,31900
KR70120J0008,20260813,1,323410,카카오뱅크,4234,22.97,22150
KR70120J0008,20260813,2,035720,카카오,2025,19.98,40100
KR70120J0008,20260813,3,377300,카카오페이,1742,19.1,44700
KR70120J0008,20260813,4,041510,에스엠엔터테인먼트,758,14.28,71900
KR70120J0008,20260813,5,293490,카카오게임즈,2921,6.44,9070
KR70120J0008,20260813,6,105560,KB금융지주,152,6.29,168100
KR70120J0008,20260813,7,376300,디어유,769,3.86,19790
KR70120J0008,20260813,8,035420,네이버,63,3.39,226500
KR70120J0008,20260813,9,048550,에스엠컬처앤콘텐츠,2892,1,1337
KR70120J0008,20260813,10,259960,크래프톤,16,.94,234500
KR70112X0000,20260813,1,005930,삼성전자,2599,34.18,268000
