ISIN,기준일,섹터코드,섹터명,ETF비중,시장비중,시장대비,종목명_세이브로
KR70193M0005,,FGSC.10,에너지,,,,
KR70193M0005,,FGSC.15,소재,,,,
KR70193M0005,,FGSC.20,산업재,,,,
KR70193M0005,,FGSC.25,경기소비재,,,,
KR70193M0005,,FGSC.30,필수소비재,,,,
KR70193M0005,,FGSC.35,의료,,,,
KR70193M0005,,FGSC.40,금융,,,,
KR70193M0005,,FGSC.45,IT,,,,
KR70193M0005,,FGSC.50,통신서비스,,,,
KR70193M0005,,FGSC.55,유틸리티,,,,
KR7466810009,20260813,FGSC.10,에너지,11.2745,2,9.27,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,20260813,FGSC.15,소재,41.8214,2.8,39.02,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,,FGSC.20,산업재,,,,
KR7466810009,,FGSC.25,경기소비재,,,,
KR7466810009,,FGSC.30,필수소비재,,,,
KR7466810009,,FGSC.35,의료,,,,
KR7466810009,,FGSC.40,금융,,,,
KR7466810009,20260813,FGSC.45,IT,46.9043,59.71,-12.81,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,,FGSC.50,통신서비스,,,,
KR7466810009,,FGSC.55,유틸리티,,,,
KR7457930006,20260813,FGSC.10,에너지,.9819,2,-1.02,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.15,소재,1.7111,2.8,-1.09,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.20,산업재,23.3815,13.59,9.79,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.25,경기소비재,13.3698,6.12,7.25,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.30,필수소비재,,,,
KR7457930006,20260813,FGSC.35,의료,12.6004,5.15,7.45,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.40,금융,,,,
KR7457930006,20260813,FGSC.45,IT,41.8963,59.71,-17.81,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.50,통신서비스,6.0592,.66,5.4,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.55,유틸리티,,,,
KR70218K0008,,FGSC.10,에너지,,,,
KR70218K0008,,FGSC.15,소재,,,,
KR70218K0008,20260813,FGSC.20,산업재,2.3098,13.59,-11.28,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,20260813,FGSC.25,경기소비재,60.1583,6.12,54.04,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,,FGSC.30,필수소비재,,,,
KR70218K0008,,FGSC.35,의료,,,,
KR70218K0008,,FGSC.40,금융,,,,
KR70218K0008,20260813,FGSC.45,IT,37.5319,59.71,-22.18,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,,FGSC.50,통신서비스,,,,
KR70218K0008,,FGSC.55,유틸리티,,,,
KR7487750002,,FGSC.10,에너지,,,,
KR7487750002,,FGSC.15,소재,,,,
KR7487750002,,FGSC.20,산업재,,,,
KR7487750002,,FGSC.25,경기소비재,,,,
KR7487750002,,FGSC.30,필수소비재,,,,
KR7487750002,,FGSC.35,의료,,,,
KR7487750002,,FGSC.40,금융,,,,
KR7487750002,20260813,FGSC.45,IT,100,59.71,40.29,BNK BNK온디바이스AI증권상장지수투자신탁(주식)
KR7487750002,,FGSC.50,통신서비스,,,,
KR7487750002,,FGSC.55,유틸리티,,,,
KR7445690001,20260813,FGSC.10,에너지,1.4065,2,-.6,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.15,소재,3.715,2.8,.91,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.20,산업재,11.7873,13.59,-1.8,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.25,경기소비재,20.4707,6.12,14.36,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.30,필수소비재,2.1589,1.91,.25,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.35,의료,3.4947,5.15,-1.66,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
