ISIN,종목명,지급기준일,배당구분,주당분배금,분배율,과표기준가,결산기준가,세금구분,배당확정여부,현금배당방법,총분배금,지급기간,청산분배금기준,청산차수
KR70151P0002,RISE 코리아전략산업액티브,20260731,이익분배,30,.00279864582857,"10,737.99",0.00,현금(배당소득),확정,정액,325500000,2026/08/04 ~ 2026/08/04,,
KR7337160006,KODEX 200ESG,20260731,이익분배,80,.00804735870598,"10,110.77",0.00,현금(배당소득),확정,정액,296000000,2026/08/04 ~ 2026/08/04,,
KR7337160006,KODEX 200ESG,20260430,이익분배,300,.03017759514744,"10,350.04",0.00,현금(배당소득),확정,정액,840000000,2026/05/06 ~ 2026/05/06,,
KR7337160006,KODEX 200ESG,20260130,이익분배,23,.00231361562797,"10,200.80",0.00,현금(배당소득),확정,정액,52900000,2026/02/03 ~ 2026/02/03,,
KR7337160006,KODEX 200ESG,20250430,이익분배,305,.03068055506657,"10,333.54",0.00,현금(배당소득),확정,정액,854000000,2025/05/07 ~ 2025/05/07,,
KR7337150007,KODEX 200exTOP,20260731,이익분배,79,.00808249464663,"9,867.03",0.00,현금(배당소득),확정,정액,47400000,2026/08/04 ~ 2026/08/04,,
KR7337150007,KODEX 200exTOP,20260430,이익분배,221,.02261052299879,"10,062.50",0.00,현금(배당소득),확정,정액,154700000,2026/05/06 ~ 2026/05/06,,
KR7337150007,KODEX 200exTOP,20250430,이익분배,281,.02874912652787,"10,009.07",0.00,현금(배당소득),확정,정액,224800000,2025/05/07 ~ 2025/05/07,,
KR7337120000,KODEX 멀티팩터,20260731,이익분배,83,.00832077698012,"10,195.86",0.00,현금(배당소득),확정,정액,49800000,2026/08/04 ~ 2026/08/04,,
KR7337120000,KODEX 멀티팩터,20260430,이익분배,204,.02045106631258,"10,382.85",0.00,현금(배당소득),확정,정액,122400000,2026/05/06 ~ 2026/05/06,,
KR7337120000,KODEX 멀티팩터,20250430,이익분배,288,.02887209361776,"10,395.33",0.00,현금(배당소득),확정,정액,172800000,2025/05/07 ~ 2025/05/07,,
KR7336160007,RISE 금융채액티브,20260731,이익분배,317,.00317001077804,"101,012.37",0.00,현금(배당소득),확정,정액,166108000,2026/08/04 ~ 2026/08/04,,
KR7336160007,RISE 금융채액티브,20260630,이익분배,331,.00331001125404,"101,206.62",0.00,현금(배당소득),확정,정액,161197000,2026/07/02 ~ 2026/07/02,,
KR7336160007,RISE 금융채액티브,20260529,이익분배,251,.00251000853403,"101,332.56",0.00,현금(배당소득),확정,정액,149094000,2026/06/02 ~ 2026/06/02,,
KR7336160007,RISE 금융채액티브,20260430,이익분배,159,.00159000540602,"101,549.97",0.00,현금(배당소득),확정,정액,91743000,2026/05/06 ~ 2026/05/06,,
KR7336160007,RISE 금융채액티브,20260331,이익분배,227,.00227000771803,"101,292.75",0.00,현금(배당소득),확정,정액,93751000,2026/04/02 ~ 2026/04/02,,
KR7336160007,RISE 금융채액티브,20260227,이익분배,215,.00215000731002,"102,481.27",0.00,현금(배당소득),확정,정액,89440000,2026/03/04 ~ 2026/03/04,,
KR7336160007,RISE 금융채액티브,20260130,이익분배,320,.00320001088004,"102,831.54",0.00,현금(배당소득),확정,정액,134400000,2026/02/03 ~ 2026/02/03,,
KR7336160007,RISE 금융채액티브,20251230,이익분배,242,.00242000822803,"103,000.00",0.00,현금(배당소득),확정,정액,99220000,2026/01/05 ~ 2026/01/05,,
KR7336160007,RISE 금융채액티브,20251128,이익분배,360,.00360001224004,"103,209.50",0.00,현금(배당소득),확정,정액,155520000,2025/12/02 ~ 2025/12/02,,
KR7336160007,RISE 금융채액티브,20251031,이익분배,214,.00214000727602,"103,909.61",0.00,현금(배당소득),확정,정액,92448000,2025/11/04 ~ 2025/11/04,,
KR7336160007,RISE 금융채액티브,20250930,이익분배,401,.00401001363405,"104,291.25",0.00,현금(배당소득),확정,정액,172430000,2025/10/02 ~ 2025/10/02,,
KR7336160007,RISE 금융채액티브,20250829,이익분배,203,.00203000690202,"104,601.83",0.00,현금(배당소득),확정,정액,87290000,2025/09/02 ~ 2025/09/02,,
KR7336160007,RISE 금융채액티브,20250731,이익분배,200,.00200000680002,"104,454.44",0.00,현금(배당소득),확정,정액,86000000,2025/08/04 ~ 2025/08/04,,
KR7336160007,RISE 금융채액티브,20250630,이익분배,445,.00445001513005,"104,483.43",0.00,현금(배당소득),확정,정액,191350000,2025/07/02 ~ 2025/07/02,,
KR7336160007,RISE 금융채액티브,20250530,이익분배,155,.00155000527002,"104,666.69",0.00,현금(배당소득),확정,정액,66650000,2025/06/04 ~ 2025/06/04,,
KR7336160007,RISE 금융채액티브,20250430,이익분배,170,.00170000578002,"104,488.40",0.00,현금(배당소득),확정,정액,73100000,2025/05/07 ~ 2025/05/07,,
KR7336160007,RISE 금융채액티브,20250331,이익분배,400,.00400001360005,"103,874.90",0.00,현금(배당소득),확정,정액,164000000,2025/04/02 ~ 2025/04/02,,
KR7336160007,RISE 금융채액티브,20250228,이익분배,190,.00190000646002,"103,952.88",0.00,현금(배당소득),확정,정액,77140000,2025/03/05 ~ 2025/03/05,,
KR7336160007,RISE 금융채액티브,20250131,이익분배,200,.00200000680002,"103,826.92",0.00,현금(배당소득),확정,정액,79800000,2025/02/04 ~ 2025/02/04,,
KR7336160007,RISE 금융채액티브,20241230,이익분배,485,.00485001649006,"103,433.72",0.00,현금(배당소득),확정,정액,190120000,2025/01/03 ~ 2025/01/03,,
KR7336160007,RISE 금융채액티브,20241129,이익분배,275,.00275000935003,"103,519.21",0.00,현금(배당소득),확정,정액,107800000,2024/12/03 ~ 2024/12/03,,
KR7336160007,RISE 금융채액티브,20241031,이익분배,205,.00205000697002,"103,045.35",0.00,현금(배당소득),확정,정액,80360000,2024/11/04 ~ 2024/11/04,,
KR7336160007,RISE 금융채액티브,20240930,이익분배,280,.00280000952003,"103,294.79",0.00,현금(배당소득),확정,정액,111160000,2024/10/04 ~ 2024/10/04,,
KR7336160007,RISE 금융채액티브,20240830,이익분배,270,.00270000918003,"103,021.25",0.00,현금(배당소득),확정,정액,107190000,2024/09/03 ~ 2024/09/03,,
KR7245350004,TIGER 유로스탁스배당30,20260731,이익분배,520,.052,"20,428.10",0.00,현금(배당소득),확정,정액,832000000,2026/08/04 ~ 2026/08/04,,
KR7245350004,TIGER 유로스탁스배당30,20260430,이익분배,110,.011,"19,678.04",0.00,현금(배당소득),확정,정액,176000000,2026/05/06 ~ 2026/05/06,,
KR7245350004,TIGER 유로스탁스배당30,20260130,이익분배,60,.006,"18,930.28",0.00,현금(배당소득),확정,정액,93000000,2026/02/03 ~ 2026/02/03,,
KR7245350004,TIGER 유로스탁스배당30,20251031,이익분배,70,.007,"17,290.81",0.00,현금(배당소득),확정,정액,112000000,2025/11/04 ~ 2025/11/04,,
KR7245350004,TIGER 유로스탁스배당30,20250731,이익분배,480,.048,"16,829.24",0.00,현금(배당소득),확정,정액,768000000,2025/08/04 ~ 2025/08/04,,
KR7245350004,TIGER 유로스탁스배당30,20250430,이익분배,54,.0054,"15,724.64",0.00,현금(배당소득),확정,정액,132300000,2025/05/07 ~ 2025/05/07,,
KR7245350004,TIGER 유로스탁스배당30,20250131,이익분배,70,.007,"12,812.55",0.00,현금(배당소득),확정,정액,73500000,2025/02/04 ~ 2025/02/04,,
KR7245350004,TIGER 유로스탁스배당30,20241031,이익분배,70,.007,"12,647.33",0.00,현금(배당소득),확정,정액,73500000,2024/11/04 ~ 2024/11/04,,
KR70065G0008,KODEX 차이나테크TOP10,20260731,이익분배,53,.0053,"9,730.18",0.00,현금(배당소득),확정,정액,148400000,2026/08/04 ~ 2026/08/04,,
KR70065G0008,KODEX 차이나테크TOP10,20260430,이익분배,9,.0009,"10,170.53",0.00,현금(배당소득),확정,정액,28800000,2026/05/06 ~ 2026/05/06,,
KR70065G0008,KODEX 차이나테크TOP10,20260130,이익분배,4,.0004,"11,126.09",0.00,현금(배당소득),확정,정액,17400000,2026/02/03 ~ 2026/02/03,,
KR70065G0008,KODEX 차이나테크TOP10,20251031,이익분배,14,.0014,"11,919.52",0.00,현금(배당소득),확정,정액,60900000,2025/11/04 ~ 2025/11/04,,
KR7495750002,HANARO 코리아밸류업,20260731,이익분배,85,.0088458644543,"9,716.26",0.00,현금(배당소득),확정,정액,208250000,2026/08/04 ~ 2026/08/04,,
KR7495750002,HANARO 코리아밸류업,20260430,이익분배,170,.0176917289086,"9,827.02",0.00,현금(배당소득),확정,정액,382500000,2026/05/06 ~ 2026/05/06,,
KR7495750002,HANARO 코리아밸류업,20260130,이익분배,30,.0031220698074,"9,690.05",0.00,현금(배당소득),확정,정액,64500000,2026/02/03 ~ 2026/02/03,,
KR7495750002,HANARO 코리아밸류업,20251031,이익분배,35,.0036424147753,"9,668.48",0.00,현금(배당소득),확정,정액,80500000,2025/11/04 ~ 2025/11/04,,
KR7495750002,HANARO 코리아밸류업,20250731,이익분배,40,.0041627597432,"9,666.40",0.00,현금(배당소득),확정,정액,88000000,2025/08/04 ~ 2025/08/04,,
KR7495750002,HANARO 코리아밸류업,20250430,이익분배,165,.0171713839407,"9,790.55",0.00,현금(배당소득),확정,정액,363000000,2025/05/07 ~ 2025/05/07,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260731,이익분배,95,.0095,"9,907.51",0.00,현금(배당소득),확정,정액,650750000,2026/08/04 ~ 2026/08/04,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260630,이익분배,104,.0104,"10,767.10",0.00,현금(배당소득),확정,정액,707200000,2026/07/02 ~ 2026/07/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260529,이익분배,103,.0103,"10,725.36",0.00,현금(배당소득),확정,정액,726150000,2026/06/02 ~ 2026/06/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260430,이익분배,102,.0102,"10,737.45",0.00,현금(배당소득),확정,정액,642600000,2026/05/06 ~ 2026/05/06,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260331,이익분배,100,.01,"10,277.93",0.00,현금(배당소득),확정,정액,625000000,2026/04/02 ~ 2026/04/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260227,이익분배,100,.01,"10,435.59",0.00,현금(배당소득),확정,정액,620000000,2026/03/04 ~ 2026/03/04,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20260130,이익분배,99,.0099,"10,241.87",0.00,현금(배당소득),확정,정액,608850000,2026/02/03 ~ 2026/02/03,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20251230,이익분배,101,.0101,"10,510.74",0.00,현금(배당소득),확정,정액,600950000,2026/01/05 ~ 2026/01/05,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20251128,이익분배,104,.0104,"10,736.24",0.00,현금(배당소득),확정,정액,598000000,2025/12/02 ~ 2025/12/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20251031,이익분배,105,.0105,"11,071.76",0.00,현금(배당소득),확정,정액,577500000,2025/11/04 ~ 2025/11/04,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250930,이익분배,99,.0099,"10,406.50",0.00,현금(배당소득),확정,정액,544500000,2025/10/02 ~ 2025/10/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250829,이익분배,98,.0098,"10,315.47",0.00,현금(배당소득),확정,정액,539000000,2025/09/02 ~ 2025/09/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250731,이익분배,97,.0097,"10,184.68",0.00,현금(배당소득),확정,정액,485000000,2025/08/04 ~ 2025/08/04,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250630,이익분배,92,.0092,"9,626.37",0.00,현금(배당소득),확정,정액,460000000,2025/07/02 ~ 2025/07/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250530,이익분배,89,.0089,"9,226.87",0.00,현금(배당소득),확정,정액,445000000,2025/06/04 ~ 2025/06/04,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250430,이익분배,89,.0089,"9,303.67",0.00,현금(배당소득),확정,정액,445000000,2025/05/07 ~ 2025/05/07,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250331,이익분배,96,.0096,"9,492.34",0.00,현금(배당소득),확정,정액,480000000,2025/04/02 ~ 2025/04/02,,
KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),20250228,이익분배,97,.0097,"9,687.15",0.00,현금(배당소득),확정,정액,485000000,2025/03/05 ~ 2025/03/05,,
