티커,발행사,공시일,분배금,원금반환비율,순투자소득비율,누적_원금반환비율,누적_순투자소득비율,출처
AIPI,Rex,,,100.0,,,,https://www.rexshares.com/aipi/
CEPI,Rex,,,100.0,,,,https://www.rexshares.com/cepi/
FEPI,Rex,,,100.0,,,,https://www.rexshares.com/fepi/
NVII,Rex,,,97.7,,,,https://www.rexshares.com/nvii/
TSII,Rex,,,97.9,,,,https://www.rexshares.com/tsii/
ULTI,Rex,,,100.0,,,,https://www.rexshares.com/ulti/
AMDW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/amdw/
AMZW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/amzw/
ARMW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/armw/
AVGW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/avgw/
COIW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/coiw/
GDXW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/gdxw/
GLDW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/gldw/
GOOW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/goow/
HOOW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/hoow/
MAGY,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/magy/
METW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/metw/
MSTW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/mstw/
PLTW,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/pltw/
QDTE,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/qdte/
RDTE,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/rdte/
XDTE,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/xdte/
XPAY,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/xpay/
YBTC,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/ybtc/
YETH,Roundhill Investments,,,100.0,,,,https://www.roundhillinvestments.com/etf/yeth/
COYY,GraniteShares,2026-08-07,,97.23,,,,https://graniteshares.com/product/1139/en-us/
MUYY,GraniteShares,2026-08-07,,96.87,,,,https://graniteshares.com/product/1166/en-us/
NVYY,GraniteShares,2026-08-07,,96.2,,,,https://graniteshares.com/product/1132/en-us/
SEMY,GraniteShares,2026-08-07,,97.7,,,,https://graniteshares.com/product/1154/en-us/
TSYY,GraniteShares,2026-08-07,,95.96,,,,https://graniteshares.com/product/1119/en-us/
XBTY,GraniteShares,2026-08-07,,95.02,,,,https://graniteshares.com/product/1133/en-us/
CLIP,Global X Funds,2026-08-03,0.0,0.0,100.0,4.72,95.28,https://assets.globalxetfs.com/funds/tax_supplements/CLIP_Form-19a_08032026.docx
DIV,Global X Funds,2026-08-05,0.0551,51.98,48.02,38.05,61.95,https://assets.globalxetfs.com/funds/tax_supplements/DIV_Form-19a_08052026.docx
DJIA,Global X Funds,2026-07-20,0.1245,100.0,0.0,87.88,12.12,https://assets.globalxetfs.com/funds/tax_supplements/DJIA_Form-19a_07202026.docx
EMBD,Global X Funds,2026-08-03,0.0,0.0,100.0,2.81,97.19,https://assets.globalxetfs.com/funds/tax_supplements/EMBD_Form-19a_08032026.docx
MLPA,Global X Funds,2026-08-13,1.02,100.0,0.0,100.0,0.0,https://assets.globalxetfs.com/funds/tax_supplements/MLPA_Form-19a_08132026.docx
PFFD,Global X Funds,2026-08-03,0.0174,17.42,82.58,3.3,96.7,https://assets.globalxetfs.com/funds/tax_supplements/PFFD_Form-19a_08032026.docx
PFFV,Global X Funds,2026-08-03,0.0259,19.74,80.26,18.49,81.51,https://assets.globalxetfs.com/funds/tax_supplements/PFFV_Form-19a_08032026.docx
QYLD,Global X Funds,2026-07-20,0.1775,100.0,0.0,99.29,0.71,https://assets.globalxetfs.com/funds/tax_supplements/QYLD_Form-19a_07202026.docx
QYLG,Global X Funds,2026-07-20,0.2678,99.98,0.02,96.05,3.95,https://assets.globalxetfs.com/funds/tax_supplements/QYLG_Form-19a_07202026.docx
RYLD,Global X Funds,2026-07-20,0.1308,81.52,18.48,92.62,7.38,https://assets.globalxetfs.com/funds/tax_supplements/RYLD_Form-19a_07202026.docx
SDIV,Global X Funds,2026-08-05,0.0534,29.69,70.31,26.09,73.91,https://assets.globalxetfs.com/funds/tax_supplements/SDIV_Form-19a_08052026.docx
XYLD,Global X Funds,2026-07-20,0.4005,97.97,2.03,94.7,5.3,https://assets.globalxetfs.com/funds/tax_supplements/XYLD_Form-19a_07202026.docx
