날짜,품목,평균가,고가,저가
2026-08-07,DDR5 16Gb (2Gx8) 4800/5600,51.6,68.0,33.0
2026-08-07,DDR5 16Gb (2Gx8) eTT,23.64,26.0,22.7
2026-08-07,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-07,DDR5 RDIMM 32GB 4800/5600,1545.0,1750.0,1450.0
2026-08-07,DDR5 UDIMM 16GB 4800/5600,215.0,230.0,205.0
2026-08-07,GDDR5  8Gb,11.636,17.5,9.5
2026-08-08,DDR5 16Gb (2Gx8) 4800/5600,51.6,68.0,33.0
2026-08-08,DDR5 16Gb (2Gx8) eTT,23.64,26.0,22.7
2026-08-08,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-08,DDR5 RDIMM 32GB 4800/5600,1545.0,1750.0,1450.0
2026-08-08,DDR5 UDIMM 16GB 4800/5600,215.0,230.0,205.0
2026-08-08,GDDR5  8Gb,11.636,17.5,9.5
2026-08-10,DDR5 16Gb (2Gx8) 4800/5600,51.767,68.2,33.0
2026-08-10,DDR5 16Gb (2Gx8) eTT,23.64,25.8,22.6
2026-08-10,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-10,DDR5 RDIMM 32GB 4800/5600,1565.0,1700.0,1480.0
2026-08-10,DDR5 UDIMM 16GB 4800/5600,222.5,240.0,210.0
2026-08-10,GDDR5  8Gb,11.727,17.5,9.5
2026-08-11,DDR5 16Gb (2Gx8) 4800/5600,51.933,68.2,33.0
2026-08-11,DDR5 16Gb (2Gx8) eTT,23.64,25.8,22.6
2026-08-11,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-11,DDR5 RDIMM 32GB 4800/5600,1565.0,1700.0,1480.0
2026-08-11,DDR5 UDIMM 16GB 4800/5600,222.5,240.0,210.0
2026-08-11,GDDR5  8Gb,11.727,17.5,9.5
2026-08-12,DDR5 16Gb (2Gx8) 4800/5600,52.467,68.2,34.0
2026-08-12,DDR5 16Gb (2Gx8) eTT,23.65,25.5,22.6
2026-08-12,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-12,DDR5 RDIMM 32GB 4800/5600,1565.0,1700.0,1480.0
2026-08-12,DDR5 UDIMM 16GB 4800/5600,222.5,240.0,210.0
2026-08-12,GDDR5  8Gb,11.727,17.5,9.5
2026-08-14,DDR5 16Gb (2Gx8) 4800/5600,52.733,68.2,34.0
2026-08-14,DDR5 16Gb (2Gx8) eTT,23.65,25.5,22.6
2026-08-14,DDR5 8GB SO-DIMM,115.0,123.0,102.0
2026-08-14,DDR5 RDIMM 32GB 4800/5600,1565.0,1700.0,1480.0
2026-08-14,DDR5 UDIMM 16GB 4800/5600,222.5,240.0,210.0
2026-08-14,GDDR5  8Gb,11.727,17.5,9.5
